arith.divider_active, 0x914
ocr.demand_rfo.l3_miss_local_0, 0x1b7, 0x3f04400002
ocr.demand_rfo.l3_miss_local_1, 0x1bb, 0x3f04400002
ocr.demand_rfo.local_dram_0, 0x1b7, 0x104000002
ocr.demand_rfo.local_dram_1, 0x1bb, 0x104000002
ocr.demand_rfo.local_pmm_0, 0x1b7, 0x100400002
ocr.demand_rfo.local_pmm_1, 0x1bb, 0x100400002
ocr.demand_rfo.pmm_0, 0x1b7, 0x703c00002
ocr.demand_rfo.pmm_1, 0x1bb, 0x703c00002
ocr.demand_rfo.remote_pmm_0, 0x1b7, 0x703000002
ocr.demand_rfo.remote_pmm_1, 0x1bb, 0x703000002
ocr.demand_rfo.snc_cache.hit_with_fwd_0, 0x1b7, 0x808000002
ocr.demand_rfo.snc_cache.hit_with_fwd_1, 0x1bb, 0x808000002
ocr.demand_rfo.snc_cache.hitm_0, 0x1b7, 0x1008000002
ocr.demand_rfo.snc_cache.hitm_1, 0x1bb, 0x1008000002
ocr.demand_rfo.snc_dram_0, 0x1b7, 0x708000002
ocr.demand_rfo.snc_dram_1, 0x1bb, 0x708000002
ocr.demand_rfo.snc_pmm_0, 0x1b7, 0x700800002
ocr.demand_rfo.snc_pmm_1, 0x1bb, 0x700800002
ocr.hwpf_l1d_and_swpf.dram_0, 0x1b7, 0x73c000400
ocr.hwpf_l1d_and_swpf.dram_1, 0x1bb, 0x73c000400
ocr.hwpf_l1d_and_swpf.l3_hit_0, 0x1b7, 0x3f803c0400
ocr.hwpf_l1d_and_swpf.l3_hit_1, 0x1bb, 0x3f803c0400
ocr.hwpf_l1d_and_swpf.l3_miss_0, 0x1b7, 0x3fbfc00400
ocr.hwpf_l1d_and_swpf.l3_miss_1, 0x1bb, 0x3fbfc00400
ocr.hwpf_l1d_and_swpf.l3_miss_local_0, 0x1b7, 0x3f84400400
ocr.hwpf_l1d_and_swpf.l3_miss_local_1, 0x1bb, 0x3f84400400
ocr.hwpf_l1d_and_swpf.local_dram_0, 0x1b7, 0x104000400
ocr.hwpf_l1d_and_swpf.local_dram_1, 0x1bb, 0x104000400
ocr.hwpf_l2.any_response_0, 0x1b7, 0x10070
ocr.hwpf_l2.any_response_1, 0x1bb, 0x10070
ocr.hwpf_l3.any_response_0, 0x1b7, 0x12380
ocr.hwpf_l3.any_response_1, 0x1bb, 0x12380
ocr.hwpf_l3.l3_hit_0, 0x1b7, 0x80082380
ocr.hwpf_l3.l3_hit_1, 0x1bb, 0x80082380
ocr.hwpf_l3.l3_miss_0, 0x1b7, 0x94002380
ocr.hwpf_l3.l3_miss_1, 0x1bb, 0x94002380
ocr.hwpf_l3.l3_miss_local_0, 0x1b7, 0x84002380
ocr.hwpf_l3.l3_miss_local_1, 0x1bb, 0x84002380
ocr.hwpf_l3.remote_0, 0x1b7, 0x90002380
ocr.hwpf_l3.remote_1, 0x1bb, 0x90002380
ocr.itom.l3_miss_local_0, 0x1b7, 0x84000002
ocr.itom.l3_miss_local_1, 0x1bb, 0x84000002
ocr.itom.remote_0, 0x1b7, 0x90000002
ocr.itom.remote_1, 0x1bb, 0x90000002
ocr.other.any_response_0, 0x1b7, 0x18000
ocr.other.any_response_1, 0x1bb, 0x18000
ocr.other.l3_miss_0, 0x1b7, 0x3fbfc08000
ocr.other.l3_miss_1, 0x1bb, 0x3fbfc08000
ocr.other.l3_miss_local_0, 0x1b7, 0x3f84408000
ocr.other.l3_miss_local_1, 0x1bb, 0x3f84408000
ocr.prefetches.l3_hit_0, 0x1b7, 0x3f803c27f0
ocr.prefetches.l3_hit_1, 0x1bb, 0x3f803c27f0
ocr.prefetches.l3_miss_local_0, 0x1b7, 0x3f844027f0
ocr.prefetches.l3_miss_local_1, 0x1bb, 0x3f844027f0
ocr.reads_to_core.any_response_0, 0x1b7, 0x3f3ffc0477
ocr.reads_to_core.any_response_1, 0x1bb, 0x3f3ffc0477
ocr.reads_to_core.dram_0, 0x1b7, 0x73c000477
ocr.reads_to_core.dram_1, 0x1bb, 0x73c000477
ocr.reads_to_core.l3_hit.snoop_hit_no_fwd_0, 0x1b7, 0x4003c0477
ocr.reads_to_core.l3_hit.snoop_hit_no_fwd_1, 0x1bb, 0x4003c0477
ocr.reads_to_core.l3_hit.snoop_hit_with_fwd_0, 0x1b7, 0x8003c0477
ocr.reads_to_core.l3_hit.snoop_hit_with_fwd_1, 0x1bb, 0x8003c0477
ocr.reads_to_core.l3_hit.snoop_hitm_0, 0x1b7, 0x10003c0477
ocr.reads_to_core.l3_hit.snoop_hitm_1, 0x1bb, 0x10003c0477
ocr.reads_to_core.l3_hit_0, 0x1b7, 0x3f003c0477
ocr.reads_to_core.l3_hit_1, 0x1bb, 0x3f003c0477
ocr.reads_to_core.l3_miss_0, 0x1b7, 0x3f3fc00477
ocr.reads_to_core.l3_miss_1, 0x1bb, 0x3f3fc00477
ocr.reads_to_core.l3_miss_local_0, 0x1b7, 0x3f04400477
ocr.reads_to_core.l3_miss_local_1, 0x1bb, 0x3f04400477
ocr.reads_to_core.l3_miss_local_socket_0, 0x1b7, 0x70cc00477
ocr.reads_to_core.l3_miss_local_socket_1, 0x1bb, 0x70cc00477
ocr.reads_to_core.local_dram_0, 0x1b7, 0x104000477
ocr.reads_to_core.local_dram_1, 0x1bb, 0x104000477
ocr.reads_to_core.local_pmm_0, 0x1b7, 0x100400477
ocr.reads_to_core.local_pmm_1, 0x1bb, 0x100400477
ocr.reads_to_core.local_socket_dram_0, 0x1b7, 0x70c000477
ocr.reads_to_core.local_socket_dram_1, 0x1bb, 0x70c000477
ocr.reads_to_core.local_socket_pmm_0, 0x1b7, 0x700c00477
ocr.reads_to_core.local_socket_pmm_1, 0x1bb, 0x700c00477
ocr.reads_to_core.remote_0, 0x1b7, 0x3f33000477
ocr.reads_to_core.remote_1, 0x1bb, 0x3f33000477
ocr.reads_to_core.remote_cache.snoop_fwd_0, 0x1b7, 0x1830000477
ocr.reads_to_core.remote_cache.snoop_fwd_1, 0x1bb, 0x1830000477
ocr.reads_to_core.remote_cache.snoop_hit_with_fwd_0, 0x1b7, 0x830000477
ocr.reads_to_core.remote_cache.snoop_hit_with_fwd_1, 0x1bb, 0x830000477
ocr.reads_to_core.remote_cache.snoop_hitm_0, 0x1b7, 0x1030000477
ocr.reads_to_core.remote_cache.snoop_hitm_1, 0x1bb, 0x1030000477
ocr.reads_to_core.remote_dram_0, 0x1b7, 0x730000477
ocr.reads_to_core.remote_dram_1, 0x1bb, 0x730000477
ocr.reads_to_core.remote_memory_0, 0x1b7, 0x731800477
ocr.reads_to_core.remote_memory_1, 0x1bb, 0x731800477
ocr.reads_to_core.remote_pmm_0, 0x1b7, 0x703000477
ocr.reads_to_core.remote_pmm_1, 0x1bb, 0x703000477
ocr.reads_to_core.snc_cache.hit_with_fwd_0, 0x1b7, 0x808000477
ocr.reads_to_core.snc_cache.hit_with_fwd_1, 0x1bb, 0x808000477
ocr.reads_to_core.snc_cache.hitm_0, 0x1b7, 0x1008000477
ocr.reads_to_core.snc_cache.hitm_1, 0x1bb, 0x1008000477
ocr.reads_to_core.snc_dram_0, 0x1b7, 0x708000477
ocr.reads_to_core.snc_dram_1, 0x1bb, 0x708000477
ocr.reads_to_core.snc_pmm_0, 0x1b7, 0x700800477
ocr.reads_to_core.snc_pmm_1, 0x1bb, 0x700800477
ocr.streaming_wr.any_response_0, 0x1b7, 0x10800
ocr.streaming_wr.any_response_1, 0x1bb, 0x10800
ocr.streaming_wr.l3_hit_0, 0x1b7, 0x80080800
ocr.streaming_wr.l3_hit_1, 0x1bb, 0x80080800
ocr.streaming_wr.l3_miss_0, 0x1b7, 0x94000800
ocr.streaming_wr.l3_miss_1, 0x1bb, 0x94000800
ocr.streaming_wr.l3_miss_local_0, 0x1b7, 0x84000800
ocr.streaming_wr.l3_miss_local_1, 0x1bb, 0x84000800
ocr.write_estimate.memory_0, 0x1b7, 0xfbff80822
ocr.write_estimate.memory_1, 0x1bb, 0xfbff80822
offcore_requests.all_data_rd, 0x8b0
offcore_requests.all_requests, 0x80b0
offcore_requests.demand_code_rd, 0x2b0
offcore_requests.demand_data_rd, 0x1b0
offcore_requests.demand_rfo, 0x4b0
offcore_requests.l3_miss_demand_data_rd, 0x10b0
offcore_requests_outstanding.all_data_rd, 0x860
offcore_requests_outstanding.cycles_with_data_rd, 0x860
offcore_requests_outstanding.cycles_with_demand_code_rd, 0x260
offcore_requests_outstanding.cycles_with_demand_rfo, 0x460
offcore_requests_outstanding.cycles_with_l3_miss_demand_data_rd, 0x1060
offcore_requests_outstanding.demand_code_rd, 0x260
offcore_requests_outstanding.demand_data_rd, 0x160
offcore_requests_outstanding.l3_miss_demand_data_rd, 0x1060
offcore_requests_outstanding.l3_miss_demand_data_rd_ge_6, 0x1060
