arith.divider_active, 0x114
offcore_response.demand_code_rd.l3_hit_e.snoop_hit_no_fwd_0, 0x1b7, 0x400080004
offcore_response.demand_code_rd.l3_hit_e.snoop_hit_no_fwd_1, 0x1bb, 0x400080004
offcore_response.demand_code_rd.l3_hit_e.snoop_hitm_0, 0x1b7, 0x1000080004
offcore_response.demand_code_rd.l3_hit_e.snoop_hitm_1, 0x1bb, 0x1000080004
offcore_response.demand_code_rd.l3_hit_e.snoop_miss_0, 0x1b7, 0x200080004
offcore_response.demand_code_rd.l3_hit_e.snoop_miss_1, 0x1bb, 0x200080004
offcore_response.demand_code_rd.l3_hit_e.snoop_non_dram_0, 0x1b7, 0x2000080004
offcore_response.demand_code_rd.l3_hit_e.snoop_non_dram_1, 0x1bb, 0x2000080004
offcore_response.demand_code_rd.l3_hit_e.snoop_none_0, 0x1b7, 0x80080004
offcore_response.demand_code_rd.l3_hit_e.snoop_none_1, 0x1bb, 0x80080004
offcore_response.demand_code_rd.l3_hit_e.snoop_not_needed_0, 0x1b7, 0x100080004
offcore_response.demand_code_rd.l3_hit_e.snoop_not_needed_1, 0x1bb, 0x100080004
offcore_response.demand_code_rd.l3_hit_e.spl_hit_0, 0x1b7, 0x40080004
offcore_response.demand_code_rd.l3_hit_e.spl_hit_1, 0x1bb, 0x40080004
offcore_response.demand_code_rd.l3_hit_m.any_snoop_0, 0x1b7, 0x3fc0040004
offcore_response.demand_code_rd.l3_hit_m.any_snoop_1, 0x1bb, 0x3fc0040004
offcore_response.demand_code_rd.l3_hit_m.snoop_hit_no_fwd_0, 0x1b7, 0x400040004
offcore_response.demand_code_rd.l3_hit_m.snoop_hit_no_fwd_1, 0x1bb, 0x400040004
offcore_response.demand_code_rd.l3_hit_m.snoop_hitm_0, 0x1b7, 0x1000040004
offcore_response.demand_code_rd.l3_hit_m.snoop_hitm_1, 0x1bb, 0x1000040004
offcore_response.demand_code_rd.l3_hit_m.snoop_miss_0, 0x1b7, 0x200040004
offcore_response.demand_code_rd.l3_hit_m.snoop_miss_1, 0x1bb, 0x200040004
offcore_response.demand_code_rd.l3_hit_m.snoop_non_dram_0, 0x1b7, 0x2000040004
