arith.fpu_div_active, 0x114
offcore_response.all_pf_rfo.l3_hit.snoop_miss_1, 0x1bb, 0x2003c0120
offcore_response.all_pf_rfo.l3_hit.snoop_non_dram_0, 0x1b7, 0x20003c0120
offcore_response.all_pf_rfo.l3_hit.snoop_non_dram_1, 0x1bb, 0x20003c0120
offcore_response.all_pf_rfo.l3_hit.snoop_none_0, 0x1b7, 0x803c0120
offcore_response.all_pf_rfo.l3_hit.snoop_none_1, 0x1bb, 0x803c0120
offcore_response.all_pf_rfo.l3_hit.snoop_not_needed_0, 0x1b7, 0x1003c0120
offcore_response.all_pf_rfo.l3_hit.snoop_not_needed_1, 0x1bb, 0x1003c0120
offcore_response.all_pf_rfo.l3_miss.snoop_hit_no_fwd_0, 0x1b7, 0x43c000120
offcore_response.all_pf_rfo.l3_miss.snoop_hit_no_fwd_1, 0x1bb, 0x43c000120
offcore_response.all_pf_rfo.l3_miss.snoop_miss_0, 0x1b7, 0x23c000120
offcore_response.all_pf_rfo.l3_miss.snoop_miss_1, 0x1bb, 0x23c000120
offcore_response.all_pf_rfo.l3_miss.snoop_none_0, 0x1b7, 0xbc000120
offcore_response.all_pf_rfo.l3_miss.snoop_none_1, 0x1bb, 0xbc000120
