offcore_response.any_rfo.remote_cache_hitm, 0x1b7, 0x822
offcore_response.any_rfo.remote_dram, 0x1b7, 0x2022
offcore_response.corewb.any_cache_dram, 0x1b7, 0x7f08
offcore_response.corewb.any_dram, 0x1b7, 0x6008
offcore_response.corewb.any_llc_miss, 0x1b7, 0xf808
offcore_response.corewb.any_location, 0x1b7, 0xff08
offcore_response.corewb.io_csr_mmio, 0x1b7, 0x8008
offcore_response.corewb.llc_hit_no_other_core, 0x1b7, 0x108
offcore_response.corewb.llc_hit_other_core_hitm, 0x1b7, 0x408
offcore_response.corewb.local_cache, 0x1b7, 0x708
offcore_response.corewb.local_cache_dram, 0x1b7, 0x4708
offcore_response.corewb.local_dram, 0x1b7, 0x4008
offcore_response.corewb.remote_cache, 0x1b7, 0x1808
offcore_response.corewb.remote_cache_dram, 0x1b7, 0x3808
offcore_response.corewb.remote_cache_hit, 0x1b7, 0x1008
offcore_response.corewb.remote_cache_hitm, 0x1b7, 0x808
offcore_response.corewb.remote_dram, 0x1b7, 0x2008
offcore_response.data_ifetch.any_cache_dram, 0x1b7, 0x7f77
offcore_response.data_ifetch.any_dram, 0x1b7, 0x6077
offcore_response.data_ifetch.any_llc_miss, 0x1b7, 0xf877
offcore_response.data_ifetch.any_location, 0x1b7, 0xff77
offcore_response.data_ifetch.io_csr_mmio, 0x1b7, 0x8077
offcore_response.data_ifetch.llc_hit_no_other_core, 0x1b7, 0x177
offcore_response.data_ifetch.llc_hit_other_core_hit, 0x1b7, 0x277
offcore_response.data_ifetch.llc_hit_other_core_hitm, 0x1b7, 0x477
offcore_response.data_ifetch.local_cache, 0x1b7, 0x777
offcore_response.data_ifetch.local_cache_dram, 0x1b7, 0x4777
offcore_response.data_ifetch.local_dram, 0x1b7, 0x4077
offcore_response.data_ifetch.remote_cache, 0x1b7, 0x1877
offcore_response.data_ifetch.remote_cache_dram, 0x1b7, 0x3877
offcore_response.data_ifetch.remote_cache_hit, 0x1b7, 0x1077
offcore_response.data_ifetch.remote_cache_hitm, 0x1b7, 0x877
offcore_response.data_ifetch.remote_dram, 0x1b7, 0x2077
offcore_response.data_in.any_cache_dram, 0x1b7, 0x7f33
offcore_response.data_in.any_dram, 0x1b7, 0x6033
offcore_response.data_in.any_llc_miss, 0x1b7, 0xf833
offcore_response.data_in.any_location, 0x1b7, 0xff33
offcore_response.data_in.io_csr_mmio, 0x1b7, 0x8033
offcore_response.data_in.llc_hit_no_other_core, 0x1b7, 0x133
offcore_response.data_in.llc_hit_other_core_hit, 0x1b7, 0x233
offcore_response.data_in.llc_hit_other_core_hitm, 0x1b7, 0x433
offcore_response.data_in.local_cache, 0x1b7, 0x733
offcore_response.data_in.local_cache_dram, 0x1b7, 0x4733
offcore_response.data_in.local_dram, 0x1b7, 0x4033
offcore_response.data_in.remote_cache, 0x1b7, 0x1833
offcore_response.data_in.remote_cache_dram, 0x1b7, 0x3833
offcore_response.data_in.remote_cache_hit, 0x1b7, 0x1033
offcore_response.data_in.remote_cache_hitm, 0x1b7, 0x833
offcore_response.data_in.remote_dram, 0x1b7, 0x2033
offcore_response.demand_data.any_cache_dram, 0x1b7, 0x7f03
offcore_response.demand_data.any_dram, 0x1b7, 0x6003
offcore_response.demand_data.any_llc_miss, 0x1b7, 0xf803
offcore_response.demand_data.any_location, 0x1b7, 0xff03
offcore_response.demand_data.io_csr_mmio, 0x1b7, 0x8003
offcore_response.demand_data.llc_hit_no_other_core, 0x1b7, 0x103
offcore_response.demand_data.llc_hit_other_core_hit, 0x1b7, 0x203
offcore_response.demand_data.llc_hit_other_core_hitm, 0x1b7, 0x403
offcore_response.demand_data.local_cache, 0x1b7, 0x703
offcore_response.demand_data.local_cache_dram, 0x1b7, 0x4703
offcore_response.demand_data.local_dram, 0x1b7, 0x4003
offcore_response.demand_data.remote_cache, 0x1b7, 0x1803
offcore_response.demand_data.remote_cache_dram, 0x1b7, 0x3803
offcore_response.demand_data.remote_cache_hit, 0x1b7, 0x1003
offcore_response.demand_data.remote_cache_hitm, 0x1b7, 0x803
offcore_response.demand_data.remote_dram, 0x1b7, 0x2003
offcore_response.demand_data_rd.any_cache_dram, 0x1b7, 0x7f01
offcore_response.demand_data_rd.any_dram, 0x1b7, 0x6001
offcore_response.demand_data_rd.any_llc_miss, 0x1b7, 0xf801
offcore_response.demand_data_rd.any_location, 0x1b7, 0xff01
offcore_response.demand_data_rd.io_csr_mmio, 0x1b7, 0x8001
