arith.div_active, 0x3cd
unc_cha_llc_victims.remote_m, 0x800137
unc_cha_llc_victims.remote_s, 0x800437
unc_cha_llc_victims.total_e, 0x237
unc_cha_llc_victims.total_m, 0x137
unc_cha_llc_victims.total_s, 0x437
unc_cha_misc.rfo_hit_s, 0x839
unc_cha_osb.local_invitoe, 0x155
unc_cha_osb.local_read, 0x255
unc_cha_osb.off_pwrheuristic, 0x2055
unc_cha_osb.remote_read, 0x455
unc_cha_osb.rfo_hits_snp_bcast, 0x1055
unc_cha_remote_sf.alloc_exclusive, 0x1069
unc_cha_remote_sf.alloc_shared, 0x869
unc_cha_remote_sf.dealloc_evctcln, 0x4069
unc_cha_remote_sf.dirbacked_only, 0x69
unc_cha_remote_sf.hit_exclusive, 0x269
unc_cha_remote_sf.hit_shared, 0x169
unc_cha_remote_sf.inclusive_only, 0x69
unc_cha_remote_sf.miss, 0x469
unc_cha_remote_sf.update_exclusive, 0x69
unc_cha_remote_sf.update_shared, 0x8069
unc_cha_remote_sf.victim_exclusive, 0x69
unc_cha_remote_sf.victim_shared, 0x69
unc_cha_requests.invitoe, 0x3050
unc_cha_requests.invitoe_local, 0x1050
unc_cha_requests.invitoe_remote, 0x2050
unc_cha_requests.reads, 0x350
unc_cha_requests.reads_local, 0x150
unc_cha_requests.reads_remote, 0x250
unc_cha_requests.writes, 0xc50
unc_cha_requests.writes_local, 0x450
unc_cha_requests.writes_remote, 0x850
unc_cha_rxc_inserts.irq, 0x113
unc_cha_rxc_occupancy.irq, 0x111
unc_cha_sf_eviction.e_state, 0x23d
unc_cha_sf_eviction.m_state, 0x13d
unc_cha_sf_eviction.s_state, 0x43d
unc_cha_tor_inserts.all, 0xc001ffff35
unc_cha_tor_inserts.cxl_hit_clflush, 0x78c8c7fd2035
unc_cha_tor_inserts.cxl_hit_fsrdcur, 0x78c8effd2035
unc_cha_tor_inserts.cxl_hit_fsrdcurptl, 0x78c9effd2035
unc_cha_tor_inserts.cxl_hit_itom, 0x78cc47fd2035
unc_cha_tor_inserts.cxl_hit_itomwr, 0x78cc4ffd2035
unc_cha_tor_inserts.cxl_hit_mempushwr, 0x78cc6ffd2035
unc_cha_tor_inserts.cxl_hit_wcil, 0x78c86ffd2035
unc_cha_tor_inserts.cxl_hit_wcilf, 0x78c867fd2035
unc_cha_tor_inserts.cxl_hit_wil, 0x78c87ffd2035
unc_cha_tor_inserts.cxl_miss_clflush, 0x78c8c7fe2035
unc_cha_tor_inserts.cxl_miss_fsrdcur, 0x78c8effe2035
unc_cha_tor_inserts.cxl_miss_fsrdcurptl, 0x78c9effe2035
unc_cha_tor_inserts.cxl_miss_itom, 0x78cc47fe2035
unc_cha_tor_inserts.cxl_miss_itomwr, 0x78cc4ffe2035
unc_cha_tor_inserts.cxl_miss_mempushwr, 0x78cc6ffe2035
unc_cha_tor_inserts.cxl_miss_wcil, 0x78c86ffe2035
