arith.fpu_div, 0x414
unc_c_qlru.lru_decrement, 0x103c
unc_c_qlru.victim_non_zero, 0x203c
unc_c_ring_ad_used.ccw, 0xc1b
unc_c_ring_ad_used.cw, 0x31b
unc_c_ring_ad_used.down, 0xcc1b
unc_c_ring_ad_used.down_vr0_even, 0x41b
unc_c_ring_ad_used.down_vr0_odd, 0x81b
unc_c_ring_ad_used.down_vr1_even, 0x401b
unc_c_ring_ad_used.down_vr1_odd, 0x801b
unc_c_ring_ad_used.up, 0x331b
unc_c_ring_ad_used.up_vr0_even, 0x11b
unc_c_ring_ad_used.up_vr0_odd, 0x21b
unc_c_ring_ad_used.up_vr1_even, 0x101b
unc_c_ring_ad_used.up_vr1_odd, 0x201b
unc_c_ring_ak_used.ccw, 0xc1c
unc_c_ring_ak_used.cw, 0x31c
unc_c_ring_ak_used.down, 0xcc1c
unc_c_ring_ak_used.down_vr0_even, 0x41c
unc_c_ring_ak_used.down_vr0_odd, 0x81c
unc_c_ring_ak_used.down_vr1_even, 0x401c
unc_c_ring_ak_used.down_vr1_odd, 0x801c
unc_c_ring_ak_used.up, 0x331c
unc_c_ring_ak_used.up_vr0_even, 0x11c
unc_c_ring_ak_used.up_vr0_odd, 0x21c
unc_c_ring_ak_used.up_vr1_even, 0x101c
unc_c_ring_ak_used.up_vr1_odd, 0x201c
unc_c_ring_bl_used.ccw, 0xc1d
unc_c_ring_bl_used.cw, 0x31d
unc_c_ring_bl_used.down, 0xcc1d
unc_c_ring_bl_used.down_vr0_even, 0x41d
unc_c_ring_bl_used.down_vr0_odd, 0x81d
unc_c_ring_bl_used.down_vr1_even, 0x401d
unc_c_ring_bl_used.down_vr1_odd, 0x801d
unc_c_ring_bl_used.up, 0x331d
unc_c_ring_bl_used.up_vr0_even, 0x11d
unc_c_ring_bl_used.up_vr0_odd, 0x21d
unc_c_ring_bl_used.up_vr1_even, 0x101d
unc_c_ring_bl_used.up_vr1_odd, 0x201d
unc_c_ring_bounces.ad_irq, 0x205
unc_c_ring_bounces.ak, 0x405
unc_c_ring_bounces.ak_core, 0x205
unc_c_ring_bounces.bl, 0x805
unc_c_ring_bounces.bl_core, 0x405
unc_c_ring_bounces.iv, 0x1005
unc_c_ring_bounces.iv_core, 0x805
unc_c_ring_iv_used.any, 0xf1e
unc_c_ring_iv_used.down, 0xcc1e
unc_c_ring_iv_used.up, 0x331e
unc_c_ring_sink_starved.ad_ipq, 0x206
unc_c_ring_sink_starved.ad_irq, 0x106
unc_c_ring_sink_starved.iv, 0x1006
unc_c_ring_src_thrtl, 0x7
unc_c_rxr_ext_starved.ipq, 0x212
unc_c_rxr_ext_starved.irq, 0x112
unc_c_rxr_ext_starved.ismq_bids, 0x812
unc_c_rxr_ext_starved.prq, 0x412
unc_c_rxr_inserts.ipq, 0x413
unc_c_rxr_inserts.irq, 0x113
unc_c_rxr_inserts.irq_rej, 0x213
unc_c_rxr_inserts.irq_rejected, 0x213
unc_c_rxr_inserts.vfifo, 0x1013
unc_c_rxr_int_starved.ipq, 0x414
unc_c_rxr_int_starved.irq, 0x114
unc_c_rxr_int_starved.ismq, 0x814
unc_c_rxr_ipq_retry.addr_conflict, 0x431
unc_c_rxr_ipq_retry.any, 0x131
unc_c_rxr_ipq_retry.full, 0x231
unc_c_rxr_ipq_retry.qpi_credits, 0x1031
unc_c_rxr_irq_retry.addr_conflict, 0x432
unc_c_rxr_irq_retry.any, 0x132
unc_c_rxr_irq_retry.full, 0x232
unc_c_rxr_irq_retry.iio_credits, 0x2032
unc_c_rxr_irq_retry.qpi_credits, 0x1032
unc_c_rxr_irq_retry.rtid, 0x832
unc_c_rxr_ismq_retry.any, 0x133
unc_c_rxr_ismq_retry.full, 0x233
unc_c_rxr_ismq_retry.iio_credits, 0x2033
unc_c_rxr_ismq_retry.qpi_credits, 0x1033
unc_c_rxr_ismq_retry.rtid, 0x833
unc_c_rxr_ismq_retry.wb_credits, 0x8033
unc_c_rxr_occupancy.ipq, 0x411
unc_c_rxr_occupancy.irq, 0x111
unc_c_rxr_occupancy.irq_rej, 0x211
unc_c_rxr_occupancy.irq_rejected, 0x211
