machine_clears.memory_ordering, 0x2c3
unc_cha_llc_lookup.rfo_miss, 0x1bc80134
unc_cha_llc_lookup.rfo_pref_local, 0x888ff34
unc_cha_llc_lookup.s, 0x1034
unc_cha_llc_lookup.sf_e, 0x434
unc_cha_llc_lookup.sf_h, 0x834
unc_cha_llc_lookup.sf_s, 0x234
unc_cha_llc_lookup.writes_and_other, 0x1a42ff34
unc_cha_llc_lookup.write_local, 0x842ff34
unc_cha_llc_victims.all, 0xf37
unc_cha_llc_victims.e_state, 0x237
unc_cha_llc_victims.local_all, 0x200f37
unc_cha_llc_victims.local_e, 0x200237
unc_cha_llc_victims.local_m, 0x200137
unc_cha_llc_victims.local_only, 0x37
unc_cha_llc_victims.local_s, 0x200437
unc_cha_llc_victims.m_state, 0x137
unc_cha_llc_victims.s_state, 0x437
unc_cha_misc.cv0_pref_miss, 0x2039
unc_cha_misc.cv0_pref_vic, 0x1039
unc_cha_misc.rfo_hit_s, 0x839
unc_cha_misc.rspi_was_fse, 0x139
unc_cha_misc.wc_aliasing, 0x239
unc_cha_misc_external.mbe_inst0, 0x1e6
unc_cha_misc_external.mbe_inst1, 0x2e6
unc_cha_pipe_reject.adegrcredit, 0x42
unc_cha_pipe_reject.akegrcredit, 0x42
unc_cha_pipe_reject.allrsfways_res, 0x42
unc_cha_pipe_reject.blegrcredit, 0x42
unc_cha_pipe_reject.fsf_vicp, 0x42
unc_cha_pipe_reject.gotrack_allowsnp, 0x442
unc_cha_pipe_reject.gotrack_allwayrsv, 0x1042
unc_cha_pipe_reject.gotrack_pamatch, 0x242
unc_cha_pipe_reject.gotrack_waymatch, 0x842
unc_cha_pipe_reject.hacredit, 0x42
unc_cha_pipe_reject.idx_inpipe, 0x42
unc_cha_pipe_reject.ipq_setmatch_vicp, 0x42
unc_cha_pipe_reject.irq_setmatch_vicp, 0x42
unc_cha_pipe_reject.ismq_setmatch_vicp, 0x42
unc_cha_pipe_reject.ivegrcredit, 0x42
unc_cha_pipe_reject.llc_ways_res, 0x42
unc_cha_pipe_reject.notallowsnoop, 0x42
unc_cha_pipe_reject.one_fsf_vic, 0x42
unc_cha_pipe_reject.one_rsp_con, 0x42
unc_cha_pipe_reject.ptl_inpipe, 0x8042
unc_cha_pipe_reject.rmw_setmatch, 0x142
unc_cha_pipe_reject.rrq_setmatch_vicp, 0x42
unc_cha_pipe_reject.setmatchentrywsct, 0x42
unc_cha_pipe_reject.sf_ways_res, 0x42
unc_cha_pipe_reject.topa_match, 0x42
unc_cha_pipe_reject.torid_match_go_p, 0x42
unc_cha_pipe_reject.vn_ad_req, 0x42
unc_cha_pipe_reject.vn_ad_rsp, 0x42
unc_cha_pipe_reject.vn_bl_rsp, 0x42
unc_cha_pipe_reject.way_match, 0x42
unc_cha_read_no_credits.mc0, 0x158
unc_cha_read_no_credits.mc1, 0x258
unc_cha_read_no_credits.mc10, 0x58
unc_cha_read_no_credits.mc11, 0x58
unc_cha_read_no_credits.mc12, 0x58
unc_cha_read_no_credits.mc13, 0x58
unc_cha_read_no_credits.mc2, 0x458
unc_cha_read_no_credits.mc3, 0x858
unc_cha_read_no_credits.mc4, 0x1058
unc_cha_read_no_credits.mc5, 0x2058
unc_cha_read_no_credits.mc6, 0x4058
unc_cha_read_no_credits.mc7, 0x8058
unc_cha_read_no_credits.mc8, 0x58
unc_cha_read_no_credits.mc9, 0x58
unc_cha_requests.invitoe, 0x3050
unc_cha_requests.reads, 0x350
unc_cha_requests.writes, 0xc50
unc_cha_ring_bounces_horz.ad, 0x1ac
unc_cha_ring_bounces_horz.ak, 0x2ac
unc_cha_ring_bounces_horz.bl, 0x4ac
unc_cha_ring_bounces_horz.iv, 0x8ac
unc_cha_ring_bounces_vert.ad, 0x1aa
unc_cha_ring_bounces_vert.ak, 0x2aa
unc_cha_ring_bounces_vert.akc, 0x10aa
unc_cha_ring_bounces_vert.bl, 0x4aa
unc_cha_ring_bounces_vert.iv, 0x8aa
unc_cha_ring_sink_starved_horz.ad, 0x1ad
unc_cha_ring_sink_starved_horz.ak, 0x2ad
unc_cha_ring_sink_starved_horz.ak_ag1, 0x20ad
unc_cha_ring_sink_starved_horz.bl, 0x4ad
unc_cha_ring_sink_starved_horz.iv, 0x8ad
unc_cha_ring_sink_starved_vert.ad, 0x1ab
unc_cha_ring_sink_starved_vert.ak, 0x2ab
unc_cha_ring_sink_starved_vert.akc, 0x10ab
unc_cha_ring_sink_starved_vert.bl, 0x4ab
unc_cha_ring_sink_starved_vert.iv, 0x8ab
unc_cha_ring_src_thrtl, 0xae
unc_cha_rxc_inserts.irq, 0x113
unc_cha_rxc_inserts.irq_rej, 0x213
unc_cha_rxc_inserts.prq, 0x1013
unc_cha_rxc_inserts.prq_rej, 0x2013
unc_cha_rxc_irq0_reject.ad_req_vn0, 0x118
unc_cha_rxc_irq0_reject.ad_rsp_vn0, 0x218
unc_cha_rxc_irq0_reject.ak_non_upi, 0x4018
unc_cha_rxc_irq0_reject.bl_ncb_vn0, 0x1018
unc_cha_rxc_irq0_reject.bl_ncs_vn0, 0x2018
unc_cha_rxc_irq0_reject.bl_rsp_vn0, 0x418
unc_cha_rxc_irq0_reject.bl_wb_vn0, 0x818
unc_cha_rxc_irq0_reject.iv_non_upi, 0x8018
unc_cha_rxc_irq1_reject.allow_snp, 0x4019
unc_cha_rxc_irq1_reject.any0, 0x119
unc_cha_rxc_irq1_reject.ha, 0x219
unc_cha_rxc_irq1_reject.llc_or_sf_way, 0x2019
unc_cha_rxc_irq1_reject.llc_victim, 0x419
unc_cha_rxc_irq1_reject.pa_match, 0x8019
unc_cha_rxc_irq1_reject.sf_victim, 0x819
unc_cha_rxc_irq1_reject.victim, 0x1019
unc_cha_rxc_ismq0_reject.ad_req_vn0, 0x124
unc_cha_rxc_ismq0_reject.ad_rsp_vn0, 0x224
unc_cha_rxc_ismq0_reject.ak_non_upi, 0x4024
unc_cha_rxc_ismq0_reject.bl_ncb_vn0, 0x1024
unc_cha_rxc_ismq0_reject.bl_ncs_vn0, 0x2024
unc_cha_rxc_ismq0_reject.bl_rsp_vn0, 0x424
unc_cha_rxc_ismq0_reject.bl_wb_vn0, 0x824
unc_cha_rxc_ismq0_reject.iv_non_upi, 0x8024
unc_cha_rxc_ismq0_retry.ad_req_vn0, 0x12c
unc_cha_rxc_ismq0_retry.ad_rsp_vn0, 0x22c
unc_cha_rxc_ismq0_retry.ak_non_upi, 0x402c
unc_cha_rxc_ismq0_retry.bl_ncb_vn0, 0x102c
unc_cha_rxc_ismq0_retry.bl_ncs_vn0, 0x202c
unc_cha_rxc_ismq0_retry.bl_rsp_vn0, 0x42c
unc_cha_rxc_ismq0_retry.bl_wb_vn0, 0x82c
unc_cha_rxc_ismq0_retry.iv_non_upi, 0x802c
unc_cha_rxc_ismq1_reject.any0, 0x125
unc_cha_rxc_ismq1_reject.ha, 0x225
unc_cha_rxc_ismq1_retry.any0, 0x12d
unc_cha_rxc_ismq1_retry.ha, 0x22d
unc_cha_rxc_occupancy.irq, 0x111
unc_cha_rxc_other0_retry.ad_req_vn0, 0x12e
unc_cha_rxc_other0_retry.ad_rsp_vn0, 0x22e
unc_cha_rxc_other0_retry.ak_non_upi, 0x402e
unc_cha_rxc_other0_retry.bl_ncb_vn0, 0x102e
unc_cha_rxc_other0_retry.bl_ncs_vn0, 0x202e
unc_cha_rxc_other0_retry.bl_rsp_vn0, 0x42e
unc_cha_rxc_other0_retry.bl_wb_vn0, 0x82e
unc_cha_rxc_other0_retry.iv_non_upi, 0x802e
unc_cha_rxc_other1_retry.allow_snp, 0x402f
unc_cha_rxc_other1_retry.any0, 0x12f
unc_cha_rxc_other1_retry.ha, 0x22f
unc_cha_rxc_other1_retry.llc_or_sf_way, 0x202f
unc_cha_rxc_other1_retry.llc_victim, 0x42f
unc_cha_rxc_other1_retry.pa_match, 0x802f
unc_cha_rxc_other1_retry.sf_victim, 0x82f
unc_cha_rxc_other1_retry.victim, 0x102f
unc_cha_rxc_prq0_reject.ad_req_vn0, 0x120
unc_cha_rxc_prq0_reject.ad_rsp_vn0, 0x220
unc_cha_rxc_prq0_reject.ak_non_upi, 0x4020
unc_cha_rxc_prq0_reject.bl_ncb_vn0, 0x1020
unc_cha_rxc_prq0_reject.bl_ncs_vn0, 0x2020
unc_cha_rxc_prq0_reject.bl_rsp_vn0, 0x420
unc_cha_rxc_prq0_reject.bl_wb_vn0, 0x820
unc_cha_rxc_prq0_reject.iv_non_upi, 0x8020
unc_cha_rxc_prq1_reject.allow_snp, 0x4021
unc_cha_rxc_prq1_reject.any0, 0x121
unc_cha_rxc_prq1_reject.ha, 0x221
unc_cha_rxc_prq1_reject.llc_or_sf_way, 0x2021
unc_cha_rxc_prq1_reject.llc_victim, 0x421
unc_cha_rxc_prq1_reject.pa_match, 0x8021
unc_cha_rxc_prq1_reject.sf_victim, 0x821
unc_cha_rxc_prq1_reject.victim, 0x1021
unc_cha_rxc_req_q0_retry.ad_req_vn0, 0x12a
unc_cha_rxc_req_q0_retry.ad_rsp_vn0, 0x22a
unc_cha_rxc_req_q0_retry.ak_non_upi, 0x402a
unc_cha_rxc_req_q0_retry.bl_ncb_vn0, 0x102a
unc_cha_rxc_req_q0_retry.bl_ncs_vn0, 0x202a
unc_cha_rxc_req_q0_retry.bl_rsp_vn0, 0x42a
unc_cha_rxc_req_q0_retry.bl_wb_vn0, 0x82a
unc_cha_rxc_req_q0_retry.iv_non_upi, 0x802a
unc_cha_rxc_req_q1_retry.allow_snp, 0x402b
unc_cha_rxc_req_q1_retry.any0, 0x12b
unc_cha_rxc_req_q1_retry.ha, 0x22b
unc_cha_rxc_req_q1_retry.llc_or_sf_way, 0x202b
unc_cha_rxc_req_q1_retry.llc_victim, 0x42b
unc_cha_rxc_req_q1_retry.pa_match, 0x802b
unc_cha_rxc_req_q1_retry.sf_victim, 0x82b
unc_cha_rxc_req_q1_retry.victim, 0x102b
unc_cha_rxr_busy_starved.ad_all, 0x11e5
unc_cha_rxr_busy_starved.ad_crd, 0x10e5
unc_cha_rxr_busy_starved.ad_uncrd, 0x1e5
unc_cha_rxr_busy_starved.bl_all, 0x44e5
unc_cha_rxr_busy_starved.bl_crd, 0x40e5
unc_cha_rxr_busy_starved.bl_uncrd, 0x4e5
unc_cha_rxr_bypass.ad_all, 0x11e2
unc_cha_rxr_bypass.ad_crd, 0x10e2
unc_cha_rxr_bypass.ad_uncrd, 0x1e2
unc_cha_rxr_bypass.ak, 0x2e2
unc_cha_rxr_bypass.akc_uncrd, 0x80e2
unc_cha_rxr_bypass.bl_all, 0x44e2
unc_cha_rxr_bypass.bl_crd, 0x40e2
unc_cha_rxr_bypass.bl_uncrd, 0x4e2
unc_cha_rxr_bypass.iv, 0x8e2
unc_cha_rxr_crd_starved.ad_all, 0x11e3
unc_cha_rxr_crd_starved.ad_crd, 0x10e3
unc_cha_rxr_crd_starved.ad_uncrd, 0x1e3
unc_cha_rxr_crd_starved.ak, 0x2e3
unc_cha_rxr_crd_starved.bl_all, 0x44e3
unc_cha_rxr_crd_starved.bl_crd, 0x40e3
unc_cha_rxr_crd_starved.bl_uncrd, 0x4e3
unc_cha_rxr_crd_starved.ifv, 0x80e3
unc_cha_rxr_crd_starved.iv, 0x8e3
unc_cha_rxr_crd_starved_1, 0xe4
unc_cha_rxr_inserts.ad_all, 0x11e1
unc_cha_rxr_inserts.ad_crd, 0x10e1
unc_cha_rxr_inserts.ad_uncrd, 0x1e1
unc_cha_rxr_inserts.ak, 0x2e1
unc_cha_rxr_inserts.akc_uncrd, 0x80e1
unc_cha_rxr_inserts.bl_all, 0x44e1
unc_cha_rxr_inserts.bl_crd, 0x40e1
