BR_MISP_RETIRED.INDIRECT_CALL, 0x2c5
BR_MISP_RETIRED.IND_CALL, 0xfbc5
BR_MISP_RETIRED.JCC, 0x7ec5
BR_MISP_RETIRED.NEAR_TAKEN, 0x80c5
BR_MISP_RETIRED.NEAR_TAKEN, 0x20c5
BR_MISP_RETIRED.NON_RETURN_IND, 0xebc5
BR_MISP_RETIRED.RET, 0x8c5
BR_MISP_RETIRED.RETURN, 0xf7c5
BR_MISP_RETIRED.TAKEN_JCC, 0xfec5
CPU_CLK_UNHALTED.C01, 0x10ec
CPU_CLK_UNHALTED.C02, 0x20ec
CPU_CLK_UNHALTED.C0_WAIT, 0x70ec
CPU_CLK_UNHALTED.CORE_P, 0x3c
CPU_CLK_UNHALTED.DISTRIBUTED, 0x2ec
CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE, 0x23c
CPU_CLK_UNHALTED.PAUSE, 0x40ec
CPU_CLK_UNHALTED.PAUSE_INST, 0x40ec
CPU_CLK_UNHALTED.REF, 0x13c
CPU_CLK_UNHALTED.REF_DISTRIBUTED, 0x83c
CPU_CLK_UNHALTED.REF_TSC_P, 0x13c
CPU_CLK_UNHALTED.REF_TSC_P, 0x13c
CPU_CLK_UNHALTED.THREAD_P, 0x3c
CPU_CLK_UNHALTED.THREAD_P, 0x3c
CYCLE_ACTIVITY.CYCLES_L1D_MISS, 0x8a3
CYCLE_ACTIVITY.CYCLES_L2_MISS, 0x1a3
CYCLE_ACTIVITY.CYCLES_MEM_ANY, 0x10a3
CYCLE_ACTIVITY.STALLS_L1D_MISS, 0xca3
CYCLE_ACTIVITY.STALLS_L2_MISS, 0x5a3
CYCLE_ACTIVITY.STALLS_TOTAL, 0x4a3
EXE_ACTIVITY.1_PORTS_UTIL, 0x2a6
EXE_ACTIVITY.2_3_PORTS_UTIL, 0xca6
EXE_ACTIVITY.2_PORTS_UTIL, 0x4a6
EXE_ACTIVITY.3_PORTS_UTIL, 0x8a6
EXE_ACTIVITY.4_PORTS_UTIL, 0x10a6
EXE_ACTIVITY.BOUND_ON_LOADS, 0x21a6
EXE_ACTIVITY.BOUND_ON_STORES, 0x40a6
EXE_ACTIVITY.EXE_BOUND_0_PORTS, 0x80a6
INST_DECODED.DECODERS, 0x175
INST_RETIRED.ANY_P, 0xc0
INST_RETIRED.ANY_P, 0xc0
INST_RETIRED.MACRO_FUSED, 0x10c0
INST_RETIRED.NOP, 0x2c0
INST_RETIRED.REP_ITERATION, 0x8c0
INT_MISC.CLEARS_COUNT, 0x1ad
INT_MISC.CLEAR_RESTEER_CYCLES, 0x80ad
INT_MISC.RECOVERY_CYCLES, 0x1ad
INT_MISC.UNKNOWN_BRANCH_CYCLES, 0x40ad
INT_MISC.UOP_DROPPING, 0x10ad
INT_VEC_RETIRED.128BIT, 0x13e7
INT_VEC_RETIRED.256BIT, 0xace7
INT_VEC_RETIRED.ADD_128, 0x3e7
INT_VEC_RETIRED.ADD_256, 0xce7
INT_VEC_RETIRED.MUL_256, 0x80e7
INT_VEC_RETIRED.SHUFFLES, 0x40e7
INT_VEC_RETIRED.VNNI_128, 0x10e7
INT_VEC_RETIRED.VNNI_256, 0x20e7
LD_BLOCKS.4K_ALIAS, 0x403
LD_BLOCKS.ADDRESS_ALIAS, 0x403
LD_BLOCKS.ADDRESS_ALIAS, 0x403
LD_BLOCKS.DATA_UNKNOWN, 0x103
LD_BLOCKS.NO_SR, 0x8803
LD_BLOCKS.STORE_FORWARD, 0x8203
LOAD_HIT_PREFETCH.SWPF, 0x14c
LSD.CYCLES_ACTIVE, 0x1a8
LSD.CYCLES_OK, 0x1a8
LSD.UOPS, 0x1a8
MACHINE_CLEARS.COUNT, 0x1c3
MACHINE_CLEARS.DISAMBIGUATION, 0x8c3
MACHINE_CLEARS.MRN_NUKE, 0x80c3
MACHINE_CLEARS.PAGE_FAULT, 0x20c3
MACHINE_CLEARS.SLOW, 0x6fc3
MACHINE_CLEARS.SMC, 0x1c3
MACHINE_CLEARS.SMC, 0x4c3
MISC2_RETIRED.LFENCE, 0x20e0
MISC_RETIRED.LBR_INSERTS, 0x1e4
MISC_RETIRED.LBR_INSERTS, 0x20cc
