UNC_CHA_TOR_INSERTS.IA_MISS_LOCAL_WCIL_PMM, 0xc86e8a0135
UNC_CHA_TOR_INSERTS.IA_MISS_REMOTE_WCILF_DDR, 0xc867060135
UNC_CHA_TOR_INSERTS.IA_MISS_REMOTE_WCILF_PMM, 0xc8670a0135
UNC_CHA_TOR_INSERTS.IA_MISS_REMOTE_WCIL_DDR, 0xc86f060135
UNC_CHA_TOR_INSERTS.IA_MISS_REMOTE_WCIL_PMM, 0xc86f0a0135
UNC_CHA_TOR_INSERTS.IA_MISS_RFO, 0xc807fe0135
UNC_CHA_TOR_INSERTS.IA_MISS_RFO_CXL_ACC, 0x10c807820135
UNC_CHA_TOR_INSERTS.IA_MISS_RFO_LOCAL, 0xc806fe0135
UNC_CHA_TOR_INSERTS.IA_MISS_RFO_PREF, 0xc887fe0135
UNC_CHA_TOR_INSERTS.IA_MISS_RFO_PREF_CXL_ACC, 0x10ccc7820135
UNC_CHA_TOR_INSERTS.IA_MISS_RFO_PREF_LOCAL, 0xc886fe0135
UNC_CHA_TOR_INSERTS.IA_MISS_RFO_PREF_REMOTE, 0xc8877e0135
UNC_CHA_TOR_INSERTS.IA_MISS_RFO_REMOTE, 0xc8077e0135
UNC_CHA_TOR_INSERTS.IA_MISS_UCRDF, 0xc877de0135
UNC_CHA_TOR_INSERTS.IA_MISS_WCIL, 0xc86ffe0135
UNC_CHA_TOR_INSERTS.IA_MISS_WCILF, 0xc867fe0135
UNC_CHA_TOR_INSERTS.IA_MISS_WCILF_DDR, 0xc867860135
UNC_CHA_TOR_INSERTS.IA_MISS_WCILF_PMM, 0xc8678a0135
UNC_CHA_TOR_INSERTS.IA_MISS_WCIL_DDR, 0xc86f860135
UNC_CHA_TOR_INSERTS.IA_MISS_WCIL_PMM, 0xc86f8a0135
UNC_CHA_TOR_INSERTS.IA_MISS_WIL, 0xc87fde0135
UNC_CHA_TOR_INSERTS.IA_RFO, 0xc807ff0135
UNC_CHA_TOR_INSERTS.IA_RFO_PREF, 0xc887ff0135
UNC_CHA_TOR_INSERTS.IA_SPECITOM, 0xcc57ff0135
UNC_CHA_TOR_INSERTS.IA_WBEFTOE, 0xcc3fff0135
UNC_CHA_TOR_INSERTS.IA_WBEFTOI, 0xcc37ff0135
