LD_HEAD.ANY, 0x7f05
INST_RETIRED.BR_FUSED, 0x10c0
INST_RETIRED.MACRO_FUSED, 0x30c0
INST_RETIRED.NOP, 0x2c0
INST_RETIRED.REP_ITERATION, 0x8c0
INT_MISC.BPCLEAR_CYCLES, 0x40ad
INT_MISC.CLEARS_COUNT, 0x1ad
INT_MISC.CLEAR_RESTEER_CYCLES, 0x80ad
INT_MISC.RECOVERY_CYCLES, 0x1ad
INT_MISC.UNKNOWN_BRANCH_CYCLES, 0x40ad
INT_MISC.UOP_DROPPING, 0x10ad
INT_UOPS_EXECUTED.ALL, 0xffb3
INT_UOPS_EXECUTED.LD, 0x1b3
INT_UOPS_EXECUTED.P0, 0x8b3
INT_UOPS_EXECUTED.P1, 0x10b3
INT_UOPS_EXECUTED.P2, 0x20b3
INT_UOPS_EXECUTED.P3, 0x40b3
INT_UOPS_EXECUTED.PRIMARY, 0x78b3
INT_UOPS_EXECUTED.STA, 0x2b3
INT_UOPS_EXECUTED.STD_JMP, 0x4b3
INT_VEC_RETIRED.128BIT, 0x13e7
INT_VEC_RETIRED.256BIT, 0xace7
INT_VEC_RETIRED.ADD_128, 0x3e7
INT_VEC_RETIRED.ADD_256, 0xce7
INT_VEC_RETIRED.MUL_256, 0x80e7
INT_VEC_RETIRED.SHUFFLES, 0x40e7
INT_VEC_RETIRED.VNNI_128, 0x10e7
INT_VEC_RETIRED.VNNI_256, 0x20e7
LD_BLOCKS.ADDRESS_ALIAS, 0x403
LD_BLOCKS.ADDRESS_ALIAS, 0x403
LD_BLOCKS.ALL, 0x1003
LD_BLOCKS.DATA_UNKNOWN, 0x103
LD_BLOCKS.NO_SR, 0x8803
LD_BLOCKS.STORE_FORWARD, 0x203
LD_BLOCKS.STORE_FORWARD, 0x8203
LOAD_HIT_PREFETCH.HW_PF, 0x24c
LSD.CYCLES_ACTIVE, 0x1a8
LSD.CYCLES_OK, 0x1a8
LSD.UOPS, 0x1a8
MACHINE_CLEARS.ANY, 0xc3
MACHINE_CLEARS.ANY_FAST, 0xffc3
MACHINE_CLEARS.COUNT, 0x1c3
MACHINE_CLEARS.DISAMBIGUATION, 0x8c3
MACHINE_CLEARS.DISAMBIGUATION_FAST, 0x88c3
MACHINE_CLEARS.MRN_NUKE, 0x10c3
MACHINE_CLEARS.MRN_NUKE_FAST, 0x90c3
MACHINE_CLEARS.PAGE_FAULT, 0x20c3
MACHINE_CLEARS.SLOW, 0x6ec3
MACHINE_CLEARS.SMC, 0x4c3
MEMORY_STALLS.L1, 0x146
MEMORY_STALLS.L2, 0x246
MEMORY_STALLS.L3, 0x446
MEMORY_STALLS.MEM, 0x846
MISC2_RETIRED.LFENCE, 0x20e0
MISC_RETIRED.LBR_INSERTS, 0x1e4
MISC_RETIRED.LBR_INSERTS, 0x1e4
MISC_RETIRED1.CL_INST, 0xffe0
MISC_RETIRED1.LFENCE, 0x2e0
MISC_RETIRED1.RDPMC_RDTSC_P, 0x1e0
MISC_RETIRED1.WRMSR, 0xe0
MISC_RETIRED2.FAULT_ALL, 0xe1
MISC_RETIRED2.INTEL_PT_CLEARS, 0x2e1
MISC_RETIRED2.KEYLOCKER_ACCESS, 0x10e1
MISC_RETIRED2.KEYLOCKER_MISS, 0x11e1
MISC_RETIRED2.ULI_DELIVERY, 0x8e1
MISC_RETIRED2.ULI_SENDUIPI, 0x9e1
MISC_RETIRED2.VM_EXIT, 0x1e1
RS.EMPTY, 0x7a5
RS.EMPTY_COUNT, 0x7a5
RS.EMPTY_RESOURCE, 0x1a5
SERIALIZATION.C01_MS_SCB, 0x475
SERIALIZATION.COLOR_STALLS, 0x875
