cycle_activity.stalls_l3_miss, 0x6a3
unc_cha_rxc_irq1_reject.llc_or_sf_way, 0x2019
unc_cha_rxc_irq1_reject.llc_victim, 0x419
unc_cha_rxc_irq1_reject.pa_match, 0x8019
unc_cha_rxc_irq1_reject.sf_victim, 0x819
unc_cha_rxc_irq1_reject.victim, 0x1019
unc_cha_rxc_ismq0_reject.ad_req_vn0, 0x124
unc_cha_rxc_ismq0_reject.ad_rsp_vn0, 0x224
unc_cha_rxc_ismq0_reject.ak_non_upi, 0x4024
unc_cha_rxc_ismq0_reject.bl_ncb_vn0, 0x1024
unc_cha_rxc_ismq0_reject.bl_ncs_vn0, 0x2024
unc_cha_rxc_ismq0_reject.bl_rsp_vn0, 0x424
unc_cha_rxc_ismq0_reject.bl_wb_vn0, 0x824
unc_cha_rxc_ismq0_reject.iv_non_upi, 0x8024
unc_cha_rxc_ismq0_retry.ad_req_vn0, 0x12c
unc_cha_rxc_ismq0_retry.ad_rsp_vn0, 0x22c
unc_cha_rxc_ismq0_retry.ak_non_upi, 0x402c
unc_cha_rxc_ismq0_retry.bl_ncb_vn0, 0x102c
unc_cha_rxc_ismq0_retry.bl_ncs_vn0, 0x202c
unc_cha_rxc_ismq0_retry.bl_rsp_vn0, 0x42c
unc_cha_rxc_ismq0_retry.bl_wb_vn0, 0x82c
unc_cha_rxc_ismq0_retry.iv_non_upi, 0x802c
unc_cha_rxc_ismq1_reject.any0, 0x125
unc_cha_rxc_ismq1_reject.ha, 0x225
unc_cha_rxc_ismq1_retry.any0, 0x12d
unc_cha_rxc_ismq1_retry.ha, 0x22d
unc_cha_rxc_occupancy.ipq, 0x411
unc_cha_rxc_occupancy.rrq, 0x4011
unc_cha_rxc_occupancy.wbq, 0x8011
unc_cha_rxc_other0_retry.ad_req_vn0, 0x12e
unc_cha_rxc_other0_retry.ad_rsp_vn0, 0x22e
unc_cha_rxc_other0_retry.ak_non_upi, 0x402e
unc_cha_rxc_other0_retry.bl_ncb_vn0, 0x102e
unc_cha_rxc_other0_retry.bl_ncs_vn0, 0x202e
unc_cha_rxc_other0_retry.bl_rsp_vn0, 0x42e
unc_cha_rxc_other0_retry.bl_wb_vn0, 0x82e
unc_cha_rxc_other0_retry.iv_non_upi, 0x802e
unc_cha_rxc_other1_retry.allow_snp, 0x402f
unc_cha_rxc_other1_retry.any0, 0x12f
unc_cha_rxc_other1_retry.ha, 0x22f
unc_cha_rxc_other1_retry.llc_or_sf_way, 0x202f
unc_cha_rxc_other1_retry.llc_victim, 0x42f
unc_cha_rxc_other1_retry.pa_match, 0x802f
unc_cha_rxc_other1_retry.sf_victim, 0x82f
unc_cha_rxc_other1_retry.victim, 0x102f
unc_cha_rxc_prq0_reject.ad_req_vn0, 0x120
unc_cha_rxc_prq0_reject.ad_rsp_vn0, 0x220
unc_cha_rxc_prq0_reject.ak_non_upi, 0x4020
unc_cha_rxc_prq0_reject.bl_ncb_vn0, 0x1020
unc_cha_rxc_prq0_reject.bl_ncs_vn0, 0x2020
unc_cha_rxc_prq0_reject.bl_rsp_vn0, 0x420
unc_cha_rxc_prq0_reject.bl_wb_vn0, 0x820
unc_cha_rxc_prq0_reject.iv_non_upi, 0x8020
unc_cha_rxc_prq1_reject.allow_snp, 0x4021
unc_cha_rxc_prq1_reject.any0, 0x121
unc_cha_rxc_prq1_reject.ha, 0x221
unc_cha_rxc_prq1_reject.llc_or_sf_way, 0x2021
unc_cha_rxc_prq1_reject.llc_victim, 0x421
unc_cha_rxc_prq1_reject.pa_match, 0x8021
unc_cha_rxc_prq1_reject.sf_victim, 0x821
unc_cha_rxc_prq1_reject.victim, 0x1021
unc_cha_rxc_req_q0_retry.ad_req_vn0, 0x12a
unc_cha_rxc_req_q0_retry.ad_rsp_vn0, 0x22a
unc_cha_rxc_req_q0_retry.ak_non_upi, 0x402a
