HLE_RETIRED.ABORTED, 0x4c8
RESOURCE_STALLS.ANY, 0x1a2
RESOURCE_STALLS.ROB, 0x10a2
RESOURCE_STALLS.RS, 0x4a2
RESOURCE_STALLS.SB, 0x8a2
ROB_MISC_EVENTS.LBR_INSERTS, 0x20cc
RS_EVENTS.EMPTY_CYCLES, 0x15e
RS_EVENTS.EMPTY_END, 0x15e
UOPS_DISPATCHED_PORT.PORT_0, 0x1a1
UOPS_DISPATCHED_PORT.PORT_1, 0x2a1
UOPS_DISPATCHED_PORT.PORT_2, 0x4a1
UOPS_DISPATCHED_PORT.PORT_3, 0x8a1
UOPS_DISPATCHED_PORT.PORT_4, 0x10a1
UOPS_DISPATCHED_PORT.PORT_5, 0x20a1
UOPS_DISPATCHED_PORT.PORT_6, 0x40a1
UOPS_DISPATCHED_PORT.PORT_7, 0x80a1
UOPS_EXECUTED.CORE, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_1, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_2, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_3, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_GE_4, 0x2b1
UOPS_EXECUTED.CORE_CYCLES_NONE, 0x2b1
UOPS_EXECUTED.CYCLES_GE_1_UOP_EXEC, 0x1b1
UOPS_EXECUTED.CYCLES_GE_2_UOPS_EXEC, 0x1b1
UOPS_EXECUTED.CYCLES_GE_3_UOPS_EXEC, 0x1b1
UOPS_EXECUTED.CYCLES_GE_4_UOPS_EXEC, 0x1b1
UOPS_EXECUTED.STALL_CYCLES, 0x1b1
UOPS_EXECUTED_PORT.PORT_0, 0x1a1
UOPS_EXECUTED_PORT.PORT_0_CORE, 0x1a1
UOPS_EXECUTED_PORT.PORT_1, 0x2a1
UOPS_EXECUTED_PORT.PORT_1_CORE, 0x2a1
UOPS_EXECUTED_PORT.PORT_2, 0x4a1
UOPS_EXECUTED_PORT.PORT_2_CORE, 0x4a1
UOPS_EXECUTED_PORT.PORT_3, 0x8a1
UOPS_EXECUTED_PORT.PORT_3_CORE, 0x8a1
UOPS_EXECUTED_PORT.PORT_4, 0x10a1
UOPS_EXECUTED_PORT.PORT_4_CORE, 0x10a1
UOPS_EXECUTED_PORT.PORT_5, 0x20a1
UOPS_EXECUTED_PORT.PORT_5_CORE, 0x20a1
UOPS_EXECUTED_PORT.PORT_6, 0x40a1
