ld_head.any_at_ret, 0xff05
unc_b2cmi_direct2core_txn_override, 0x118
unc_b2cmi_imc_reads.all, 0x10424
unc_b2cmi_imc_reads.normal, 0x10124
unc_b2cmi_imc_reads.to_ddr_as_mem, 0x10824
unc_b2cmi_imc_writes.all, 0x11025
unc_b2cmi_imc_writes.full, 0x10125
unc_b2cmi_imc_writes.partial, 0x10225
unc_b2cmi_imc_writes.to_ddr_as_mem, 0x12025
unc_b2cmi_prefcam_inserts.ch0_xpt, 0x156
unc_b2cmi_prefcam_inserts.xpt_allch, 0x156
unc_b2cmi_prefcam_occupancy.ch0, 0x154
unc_b2cmi_tracker_inserts.ch0, 0x10432
unc_b2cmi_tracker_occupancy.ch0, 0x133
unc_b2cmi_wr_tracker_inserts.ch0, 0x140
unc_i_cache_total_occupancy.mem, 0x40f
unc_i_clockticks, 0x1
unc_i_faf_inserts, 0x18
unc_i_faf_occupancy, 0x19
unc_i_misc0.fast_rej, 0x21e
unc_i_misc0.fast_req, 0x11e
unc_i_misc1.lost_fwd, 0x101f
unc_i_snoop_resp.all_hit_es, 0x7412
unc_i_snoop_resp.all_hit_i, 0x7212
unc_i_snoop_resp.all_hit_m, 0x7812
unc_i_snoop_resp.all_miss, 0x7112
unc_i_transactions.wr_pref, 0x811
arith.div_active, 0x3cd
br_inst_retired.all_branches, 0xc4
br_inst_retired.cond, 0x7ec4
br_inst_retired.cond_taken, 0xfec4
br_inst_retired.far_branch, 0xbfc4
br_inst_retired.indirect, 0xebc4
br_inst_retired.indirect_call, 0xfbc4
br_inst_retired.indirect_jmp, 0xefc4
br_inst_retired.ind_call, 0xfbc4
br_inst_retired.near_call, 0xf9c4
br_inst_retired.near_return, 0xf7c4
br_inst_retired.near_taken, 0xc0c4
br_inst_retired.rel_call, 0xfdc4
br_inst_retired.rel_jmp, 0xdfc4
br_misp_retired.all_branches, 0xc5
br_misp_retired.cond, 0x7ec5
br_misp_retired.cond_taken, 0xfec5
br_misp_retired.indirect, 0xebc5
br_misp_retired.indirect_call, 0xfbc5
br_misp_retired.indirect_jmp, 0xefc5
br_misp_retired.near_taken, 0x80c5
br_misp_retired.return, 0xf7c5
cpu_clk_unhalted.core_p, 0x3c
cpu_clk_unhalted.ref_tsc_p, 0x13c
cpu_clk_unhalted.thread_p, 0x3c
inst_retired.any_p, 0xc0
ld_blocks.address_alias, 0x403
ld_blocks.data_unknown, 0x103
ld_blocks.store_forward, 0x203
machine_clears.disambiguation, 0x8c3
machine_clears.page_fault, 0x20c3
machine_clears.slow, 0x6fc3
machine_clears.smc, 0x1c3
misc_retired.lbr_inserts, 0x1e4
serialization.c01_ms_scb, 0x475
topdown_bad_speculation.all, 0x73
topdown_bad_speculation.all_p, 0x73
topdown_bad_speculation.fastnuke, 0x273
topdown_bad_speculation.machine_clears, 0x373
topdown_bad_speculation.mispredict, 0x473
topdown_bad_speculation.nuke, 0x173
topdown_be_bound.all, 0x74
topdown_be_bound.alloc_restrictions, 0x174
topdown_be_bound.all_p, 0x74
topdown_be_bound.mem_scheduler, 0x274
topdown_be_bound.non_mem_scheduler, 0x874
topdown_be_bound.register, 0x2074
topdown_be_bound.reorder_buffer, 0x4074
topdown_be_bound.serialization, 0x1074
topdown_fe_bound.all, 0x71
topdown_fe_bound.all_p, 0x71
topdown_fe_bound.branch_detect, 0x271
topdown_fe_bound.branch_resteer, 0x4071
topdown_fe_bound.cisc, 0x171
topdown_fe_bound.decode, 0x871
topdown_fe_bound.frontend_bandwidth, 0x8d71
topdown_fe_bound.frontend_latency, 0x7271
topdown_fe_bound.itlb, 0x1071
topdown_fe_bound.itlb_miss, 0x1071
topdown_fe_bound.other, 0x8071
topdown_fe_bound.predecode, 0x471
topdown_retiring.all, 0x72
topdown_retiring.all_p, 0x72
uops_issued.any, 0xe
uops_retired.all, 0xc2
uops_retired.idiv, 0x10c2
uops_retired.ms, 0x1c2
uops_retired.x87, 0x2c2
unc_iio_clockticks, 0x1
unc_iio_comp_buf_inserts.cmpd.all_parts, 0x4c2
unc_iio_comp_buf_inserts.cmpd.part0, 0x4c2
unc_iio_comp_buf_inserts.cmpd.part1, 0x4c2
unc_iio_comp_buf_inserts.cmpd.part2, 0x4c2
unc_iio_comp_buf_inserts.cmpd.part3, 0x4c2
unc_iio_comp_buf_inserts.cmpd.part4, 0x4c2
unc_iio_comp_buf_inserts.cmpd.part5, 0x4c2
unc_iio_comp_buf_inserts.cmpd.part6, 0x4c2
unc_iio_comp_buf_inserts.cmpd.part7, 0x4c2
unc_iio_comp_buf_occupancy.cmpd.all_parts, 0xffd5
unc_iio_comp_buf_occupancy.cmpd.part0, 0x1d5
unc_iio_comp_buf_occupancy.cmpd.part1, 0x2d5
unc_iio_comp_buf_occupancy.cmpd.part2, 0x4d5
unc_iio_comp_buf_occupancy.cmpd.part3, 0x8d5
unc_iio_comp_buf_occupancy.cmpd.part4, 0x10d5
unc_iio_comp_buf_occupancy.cmpd.part5, 0x20d5
unc_iio_comp_buf_occupancy.cmpd.part6, 0x40d5
unc_iio_comp_buf_occupancy.cmpd.part7, 0x80d5
unc_iio_data_req_by_cpu.mem_read.all_parts, 0x4c0
unc_iio_data_req_by_cpu.mem_read.part0, 0x4c0
unc_iio_data_req_by_cpu.mem_read.part1, 0x4c0
unc_iio_data_req_by_cpu.mem_read.part2, 0x4c0
unc_iio_data_req_by_cpu.mem_read.part3, 0x4c0
unc_iio_data_req_by_cpu.mem_read.part4, 0x4c0
unc_iio_data_req_by_cpu.mem_read.part5, 0x4c0
unc_iio_data_req_by_cpu.mem_read.part6, 0x4c0
unc_iio_data_req_by_cpu.mem_read.part7, 0x4c0
unc_iio_data_req_by_cpu.mem_write.all_parts, 0x1c0
unc_iio_data_req_by_cpu.mem_write.part0, 0x1c0
unc_iio_data_req_by_cpu.mem_write.part1, 0x1c0
unc_iio_data_req_by_cpu.mem_write.part2, 0x1c0
unc_iio_data_req_by_cpu.mem_write.part3, 0x1c0
unc_iio_data_req_by_cpu.mem_write.part4, 0x1c0
unc_iio_data_req_by_cpu.mem_write.part5, 0x1c0
unc_iio_data_req_by_cpu.mem_write.part6, 0x1c0
unc_iio_data_req_by_cpu.mem_write.part7, 0x1c0
unc_iio_data_req_of_cpu.mem_read.part0, 0x483
unc_iio_data_req_of_cpu.mem_read.part1, 0x483
unc_iio_data_req_of_cpu.mem_read.part2, 0x483
unc_iio_data_req_of_cpu.mem_read.part3, 0x483
unc_iio_data_req_of_cpu.mem_read.part4, 0x483
unc_iio_data_req_of_cpu.mem_read.part5, 0x483
unc_iio_data_req_of_cpu.mem_read.part6, 0x483
unc_iio_data_req_of_cpu.mem_read.part7, 0x483
unc_iio_data_req_of_cpu.mem_write.part0, 0x183
unc_iio_data_req_of_cpu.mem_write.part1, 0x183
unc_iio_data_req_of_cpu.mem_write.part2, 0x183
unc_iio_data_req_of_cpu.mem_write.part3, 0x183
unc_iio_data_req_of_cpu.mem_write.part4, 0x183
unc_iio_data_req_of_cpu.mem_write.part5, 0x183
unc_iio_data_req_of_cpu.mem_write.part6, 0x183
unc_iio_data_req_of_cpu.mem_write.part7, 0x183
unc_iio_data_req_of_cpu.peer_write.part0, 0x283
unc_iio_data_req_of_cpu.peer_write.part1, 0x283
unc_iio_data_req_of_cpu.peer_write.part2, 0x283
unc_iio_data_req_of_cpu.peer_write.part3, 0x283
unc_iio_data_req_of_cpu.peer_write.part4, 0x283
unc_iio_data_req_of_cpu.peer_write.part5, 0x283
unc_iio_data_req_of_cpu.peer_write.part6, 0x283
unc_iio_data_req_of_cpu.peer_write.part7, 0x283
unc_iio_iommu0.1g_hits, 0x1040
unc_iio_iommu0.2m_hits, 0x840
unc_iio_iommu0.4k_hits, 0x440
unc_iio_iommu0.ctxt_cache_hits, 0x8040
unc_iio_iommu0.ctxt_cache_lookups, 0x4040
unc_iio_iommu0.first_lookups, 0x140
unc_iio_iommu0.misses, 0x2040
unc_iio_iommu1.num_mem_accesses, 0xc041
unc_iio_iommu1.slpwc_1g_hits, 0x441
unc_iio_iommu1.slpwc_256t_hits, 0x1041
unc_iio_iommu1.slpwc_512g_hits, 0x841
unc_iio_num_req_of_cpu_by_tgt.abort, 0x808e
unc_iio_num_req_of_cpu_by_tgt.confined_p2p, 0x408e
unc_iio_num_req_of_cpu_by_tgt.loc_p2p, 0x208e
unc_iio_num_req_of_cpu_by_tgt.mcast, 0x28e
unc_iio_num_req_of_cpu_by_tgt.mem, 0x88e
unc_iio_num_req_of_cpu_by_tgt.msgb, 0x18e
unc_iio_num_req_of_cpu_by_tgt.ubox, 0x48e
unc_iio_pwt_occupancy, 0x42
unc_iio_txn_req_by_cpu.mem_read.part0, 0x4c1
unc_iio_txn_req_by_cpu.mem_read.part1, 0x4c1
unc_iio_txn_req_by_cpu.mem_read.part2, 0x4c1
unc_iio_txn_req_by_cpu.mem_read.part3, 0x4c1
unc_iio_txn_req_by_cpu.mem_read.part4, 0x4c1
unc_iio_txn_req_by_cpu.mem_read.part5, 0x4c1
unc_iio_txn_req_by_cpu.mem_read.part6, 0x4c1
unc_iio_txn_req_by_cpu.mem_read.part7, 0x4c1
unc_iio_txn_req_by_cpu.mem_write.part0, 0x1c1
unc_iio_txn_req_by_cpu.mem_write.part1, 0x1c1
unc_iio_txn_req_by_cpu.mem_write.part2, 0x1c1
unc_iio_txn_req_by_cpu.mem_write.part3, 0x1c1
unc_iio_txn_req_by_cpu.mem_write.part4, 0x1c1
unc_iio_txn_req_by_cpu.mem_write.part5, 0x1c1
unc_iio_txn_req_by_cpu.mem_write.part6, 0x1c1
unc_iio_txn_req_by_cpu.mem_write.part7, 0x1c1
unc_iio_txn_req_of_cpu.mem_read.part0, 0x484
unc_iio_txn_req_of_cpu.mem_read.part1, 0x484
unc_iio_txn_req_of_cpu.mem_read.part2, 0x484
unc_iio_txn_req_of_cpu.mem_read.part3, 0x484
unc_iio_txn_req_of_cpu.mem_read.part4, 0x484
unc_iio_txn_req_of_cpu.mem_read.part5, 0x484
unc_iio_txn_req_of_cpu.mem_read.part6, 0x484
unc_iio_txn_req_of_cpu.mem_read.part7, 0x484
unc_iio_txn_req_of_cpu.mem_write.part0, 0x184
unc_iio_txn_req_of_cpu.mem_write.part1, 0x184
unc_iio_txn_req_of_cpu.mem_write.part2, 0x184
unc_iio_txn_req_of_cpu.mem_write.part3, 0x184
unc_iio_txn_req_of_cpu.mem_write.part4, 0x184
unc_iio_txn_req_of_cpu.mem_write.part5, 0x184
unc_iio_txn_req_of_cpu.mem_write.part6, 0x184
