hle_retired.aborted, 0x4c8
unc_c_rxr_int_starved.ismq, 0x814
unc_c_rxr_int_starved.prq, 0x1014
unc_c_rxr_ipq_retry.addr_conflict, 0x431
unc_c_rxr_ipq_retry.any, 0x131
unc_c_rxr_ipq_retry.full, 0x231
unc_c_rxr_ipq_retry.qpi_credits, 0x1031
unc_c_rxr_ipq_retry2.ad_sbo, 0x128
unc_c_rxr_ipq_retry2.target, 0x4028
unc_c_rxr_irq_retry.addr_conflict, 0x432
unc_c_rxr_irq_retry.any, 0x132
unc_c_rxr_irq_retry.full, 0x232
unc_c_rxr_irq_retry.iio_credits, 0x2032
unc_c_rxr_irq_retry.nid, 0x4032
unc_c_rxr_irq_retry.qpi_credits, 0x1032
unc_c_rxr_irq_retry.rtid, 0x832
unc_c_rxr_irq_retry2.ad_sbo, 0x129
unc_c_rxr_irq_retry2.bl_sbo, 0x229
unc_c_rxr_irq_retry2.target, 0x4029
unc_c_rxr_ismq_retry.any, 0x133
unc_c_rxr_ismq_retry.full, 0x233
unc_c_rxr_ismq_retry.iio_credits, 0x2033
unc_c_rxr_ismq_retry.nid, 0x4033
unc_c_rxr_ismq_retry.qpi_credits, 0x1033
unc_c_rxr_ismq_retry.rtid, 0x833
unc_c_rxr_ismq_retry.wb_credits, 0x8033
unc_c_rxr_ismq_retry2.ad_sbo, 0x12a
unc_c_rxr_ismq_retry2.bl_sbo, 0x22a
unc_c_rxr_ismq_retry2.target, 0x402a
unc_c_rxr_occupancy.ipq, 0x411
unc_c_rxr_occupancy.irq, 0x111
unc_c_rxr_occupancy.irq_rej, 0x211
unc_c_rxr_occupancy.prq_rej, 0x2011
unc_c_sbo_credits_acquired.ad, 0x13d
unc_c_sbo_credits_acquired.bl, 0x23d
unc_c_sbo_credit_occupancy.ad, 0x13e
unc_c_sbo_credit_occupancy.bl, 0x23e
unc_c_tor_inserts.all, 0x835
unc_c_tor_inserts.eviction, 0x435
unc_c_tor_inserts.local, 0x2835
unc_c_tor_inserts.local_opcode, 0x2135
unc_c_tor_inserts.miss_local, 0x2a35
unc_c_tor_inserts.miss_local_opcode, 0x2335
unc_c_tor_inserts.miss_opcode, 0x335
unc_c_tor_inserts.miss_remote, 0x8a35
unc_c_tor_inserts.miss_remote_opcode, 0x8335
unc_c_tor_inserts.nid_all, 0x4835
unc_c_tor_inserts.nid_eviction, 0x4435
unc_c_tor_inserts.nid_miss_all, 0x4a35
unc_c_tor_inserts.nid_miss_opcode, 0x4335
unc_c_tor_inserts.nid_opcode, 0x4135
unc_c_tor_inserts.nid_wb, 0x5035
unc_c_tor_inserts.opcode, 0x135
unc_c_tor_inserts.remote, 0x8835
unc_c_tor_inserts.remote_opcode, 0x8135
unc_c_tor_inserts.wb, 0x1035
unc_c_tor_occupancy.all, 0x836
unc_c_tor_occupancy.eviction, 0x436
unc_c_tor_occupancy.llc_data_read, 0x336
unc_c_tor_occupancy.local, 0x2836
unc_c_tor_occupancy.local_opcode, 0x2136
unc_c_tor_occupancy.miss_all, 0xa36
unc_c_tor_occupancy.miss_local, 0x2a36
unc_c_tor_occupancy.miss_local_opcode, 0x2336
unc_c_tor_occupancy.miss_opcode, 0x336
unc_c_tor_occupancy.miss_remote, 0x8a36
unc_c_tor_occupancy.miss_remote_opcode, 0x8336
unc_c_tor_occupancy.nid_all, 0x4836
unc_c_tor_occupancy.nid_eviction, 0x4436
unc_c_tor_occupancy.nid_miss_all, 0x4a36
unc_c_tor_occupancy.nid_miss_opcode, 0x4336
unc_c_tor_occupancy.nid_opcode, 0x4136
unc_c_tor_occupancy.nid_wb, 0x5036
unc_c_tor_occupancy.opcode, 0x136
unc_c_tor_occupancy.remote, 0x8836
unc_c_tor_occupancy.remote_opcode, 0x8136
unc_c_tor_occupancy.wb, 0x1036
unc_c_txr_ads_used.ad, 0x104
unc_c_txr_ads_used.ak, 0x204
unc_c_txr_ads_used.bl, 0x404
unc_c_txr_inserts.ad_cache, 0x102
unc_c_txr_inserts.ad_core, 0x1002
unc_c_txr_inserts.ak_cache, 0x202
unc_c_txr_inserts.ak_core, 0x2002
unc_c_txr_inserts.bl_cache, 0x402
unc_c_txr_inserts.bl_core, 0x4002
unc_c_txr_inserts.iv_cache, 0x802
unc_c_txr_starved.ad_core, 0x1003
unc_c_txr_starved.ak_both, 0x203
unc_c_txr_starved.bl_both, 0x403
unc_c_txr_starved.iv, 0x803
unc_h_bt_cycles_ne, 0x42
unc_h_bt_to_ht_not_issued.incoming_bl_hazard, 0x451
unc_h_bt_to_ht_not_issued.incoming_snp_hazard, 0x251
unc_h_bt_to_ht_not_issued.rspackcflt_hazard, 0x851
unc_h_bt_to_ht_not_issued.wbmdata_hazard, 0x1051
unc_h_bypass_imc.not_taken, 0x214
unc_h_bypass_imc.taken, 0x114
unc_h_direct2core_count, 0x11
unc_h_direct2core_cycles_disabled, 0x12
unc_h_direct2core_txn_override, 0x13
unc_h_directory_lat_opt, 0x41
unc_h_directory_lookup.no_snp, 0x20c
unc_h_directory_lookup.snp, 0x10c
unc_h_directory_update.any, 0x30d
unc_h_directory_update.clear, 0x20d
unc_h_directory_update.set, 0x10d
unc_h_hitme_hit.ackcnfltwbi, 0x471
unc_h_hitme_hit.all, 0xff71
unc_h_hitme_hit.allocs, 0x7071
unc_h_hitme_hit.evicts, 0x4271
unc_h_hitme_hit.hom, 0xf71
unc_h_hitme_hit.invals, 0x2671
unc_h_hitme_hit.read_or_invitoe, 0x171
unc_h_hitme_hit.rsp, 0x8071
unc_h_hitme_hit.rspfwdi_local, 0x2071
unc_h_hitme_hit.rspfwdi_remote, 0x1071
unc_h_hitme_hit.rspfwds, 0x4071
unc_h_hitme_hit.wbmtoe_or_s, 0x871
unc_h_hitme_hit.wbmtoi, 0x271
unc_h_hitme_hit_pv_bits_set.ackcnfltwbi, 0x472
unc_h_hitme_hit_pv_bits_set.all, 0xff72
unc_h_hitme_hit_pv_bits_set.hom, 0xf72
unc_h_hitme_hit_pv_bits_set.read_or_invitoe, 0x172
unc_h_hitme_hit_pv_bits_set.rsp, 0x8072
unc_h_hitme_hit_pv_bits_set.rspfwdi_local, 0x2072
unc_h_hitme_hit_pv_bits_set.rspfwdi_remote, 0x1072
unc_h_hitme_hit_pv_bits_set.rspfwds, 0x4072
unc_h_hitme_hit_pv_bits_set.wbmtoe_or_s, 0x872
unc_h_hitme_hit_pv_bits_set.wbmtoi, 0x272
unc_h_hitme_lookup.ackcnfltwbi, 0x470
unc_h_hitme_lookup.all, 0xff70
unc_h_hitme_lookup.allocs, 0x7070
unc_h_hitme_lookup.hom, 0xf70
unc_h_hitme_lookup.invals, 0x2670
unc_h_hitme_lookup.read_or_invitoe, 0x170
unc_h_hitme_lookup.rsp, 0x8070
unc_h_hitme_lookup.rspfwdi_local, 0x2070
unc_h_hitme_lookup.rspfwdi_remote, 0x1070
unc_h_hitme_lookup.rspfwds, 0x4070
unc_h_hitme_lookup.wbmtoe_or_s, 0x870
unc_h_hitme_lookup.wbmtoi, 0x270
unc_h_igr_no_credit_cycles.ad_qpi0, 0x122
unc_h_igr_no_credit_cycles.ad_qpi1, 0x222
unc_h_igr_no_credit_cycles.ad_qpi2, 0x1022
unc_h_igr_no_credit_cycles.bl_qpi0, 0x422
unc_h_igr_no_credit_cycles.bl_qpi1, 0x822
unc_h_igr_no_credit_cycles.bl_qpi2, 0x2022
unc_h_imc_reads.normal, 0x117
unc_h_imc_retry, 0x1e
unc_h_imc_writes.all, 0xf1a
unc_h_imc_writes.full, 0x11a
unc_h_imc_writes.full_isoch, 0x41a
unc_h_imc_writes.partial, 0x21a
unc_h_imc_writes.partial_isoch, 0x81a
unc_h_iot_backpressure.hub, 0x261
unc_h_iot_backpressure.sat, 0x161
unc_h_iot_cts_east_lo.cts0, 0x164
unc_h_iot_cts_east_lo.cts1, 0x264
unc_h_iot_cts_hi.cts2, 0x165
unc_h_iot_cts_hi.cts3, 0x265
unc_h_iot_cts_west_lo.cts0, 0x162
unc_h_iot_cts_west_lo.cts1, 0x262
unc_h_osb.cancelled, 0x1053
unc_h_osb.invitoe_local, 0x453
unc_h_osb.reads_local, 0x253
unc_h_osb.reads_local_useful, 0x2053
unc_h_osb.remote, 0x853
unc_h_osb.remote_useful, 0x4053
unc_h_osb_edr.all, 0x154
unc_h_osb_edr.reads_local_i, 0x254
unc_h_osb_edr.reads_local_s, 0x854
unc_h_osb_edr.reads_remote_i, 0x454
unc_h_osb_edr.reads_remote_s, 0x1054
unc_h_requests.invitoe_local, 0x1001
unc_h_requests.invitoe_remote, 0x2001
unc_h_requests.reads, 0x301
unc_h_requests.reads_local, 0x101
unc_h_requests.reads_remote, 0x201
unc_h_requests.writes, 0xc01
unc_h_requests.writes_local, 0x401
unc_h_requests.writes_remote, 0x801
unc_h_ring_ad_used.ccw, 0xc3e
unc_h_ring_ad_used.ccw_even, 0x43e
unc_h_ring_ad_used.ccw_odd, 0x83e
unc_h_ring_ad_used.cw, 0x33e
unc_h_ring_ad_used.cw_even, 0x13e
unc_h_ring_ad_used.cw_odd, 0x23e
unc_h_ring_ak_used.all, 0xf3f
unc_h_ring_ak_used.ccw, 0xc3f
unc_h_ring_ak_used.ccw_even, 0x43f
unc_h_ring_ak_used.ccw_odd, 0x83f
unc_h_ring_ak_used.cw, 0x33f
unc_h_ring_ak_used.cw_even, 0x13f
unc_h_ring_ak_used.cw_odd, 0x23f
unc_h_ring_bl_used.all, 0xf40
unc_h_ring_bl_used.ccw, 0xc40
unc_h_ring_bl_used.ccw_even, 0x440
unc_h_ring_bl_used.ccw_odd, 0x840
unc_h_ring_bl_used.cw, 0x340
unc_h_ring_bl_used.cw_even, 0x140
unc_h_ring_bl_used.cw_odd, 0x240
unc_h_rpq_cycles_no_reg_credits.chn0, 0x115
unc_h_rpq_cycles_no_reg_credits.chn1, 0x215
unc_h_rpq_cycles_no_reg_credits.chn2, 0x415
unc_h_rpq_cycles_no_reg_credits.chn3, 0x815
unc_h_rpq_cycles_no_spec_credits.chn0, 0x116
unc_h_rpq_cycles_no_spec_credits.chn1, 0x216
unc_h_rpq_cycles_no_spec_credits.chn2, 0x416
unc_h_rpq_cycles_no_spec_credits.chn3, 0x816
unc_h_sbo0_credits_acquired.ad, 0x168
unc_h_sbo0_credits_acquired.bl, 0x268
unc_h_sbo0_credit_occupancy.ad, 0x16a
unc_h_sbo0_credit_occupancy.bl, 0x26a
unc_h_sbo1_credits_acquired.ad, 0x169
unc_h_sbo1_credits_acquired.bl, 0x269
unc_h_sbo1_credit_occupancy.ad, 0x16b
unc_h_sbo1_credit_occupancy.bl, 0x26b
unc_h_snoops_rsp_after_data.local, 0x10a
unc_h_snoops_rsp_after_data.remote, 0x20a
unc_h_snoop_cycles_ne.all, 0x308
unc_h_snoop_cycles_ne.local, 0x108
unc_h_snoop_cycles_ne.remote, 0x208
unc_h_snoop_occupancy.local, 0x109
unc_h_snoop_occupancy.remote, 0x209
unc_h_snoop_resp.rspcnflct, 0x4021
unc_h_snoop_resp.rspi, 0x121
unc_h_snoop_resp.rspifwd, 0x421
unc_h_snoop_resp.rsps, 0x221
unc_h_snoop_resp.rspsfwd, 0x821
unc_h_snoop_resp.rsp_fwd_wb, 0x2021
unc_h_snoop_resp.rsp_wb, 0x1021
unc_h_snp_resp_recv_local.other, 0x8060
unc_h_snp_resp_recv_local.rspcnflct, 0x4060
unc_h_snp_resp_recv_local.rspi, 0x160
unc_h_snp_resp_recv_local.rspifwd, 0x460
unc_h_snp_resp_recv_local.rsps, 0x260
unc_h_snp_resp_recv_local.rspsfwd, 0x860
unc_h_snp_resp_recv_local.rspxfwdxwb, 0x2060
unc_h_snp_resp_recv_local.rspxwb, 0x1060
unc_h_stall_no_sbo_credit.sbo0_ad, 0x16c
unc_h_stall_no_sbo_credit.sbo0_bl, 0x46c
unc_h_stall_no_sbo_credit.sbo1_ad, 0x26c
unc_h_stall_no_sbo_credit.sbo1_bl, 0x86c
unc_h_tad_requests_g0.region0, 0x11b
unc_h_tad_requests_g0.region1, 0x21b
unc_h_tad_requests_g0.region2, 0x41b
unc_h_tad_requests_g0.region3, 0x81b
unc_h_tad_requests_g0.region4, 0x101b
unc_h_tad_requests_g0.region5, 0x201b
unc_h_tad_requests_g0.region6, 0x401b
unc_h_tad_requests_g0.region7, 0x801b
unc_h_tad_requests_g1.region10, 0x41c
unc_h_tad_requests_g1.region11, 0x81c
unc_h_tad_requests_g1.region8, 0x11c
unc_h_tad_requests_g1.region9, 0x21c
unc_h_tracker_cycles_full.all, 0x202
unc_h_tracker_cycles_full.gp, 0x102
unc_h_tracker_cycles_ne.all, 0x303
unc_h_tracker_cycles_ne.local, 0x103
unc_h_tracker_cycles_ne.remote, 0x203
