UNC_CHA_TOR_OCCUPANCY.IA_MISS_CRD_REMOTE, 0xc80f7e0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_CXL_ACC, 0x10c001820136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_DRD_CXL_ACC, 0x10c817820136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_DRD_OPT, 0xc827fe0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_DRD_OPT_PREF, 0xc8a7fe0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_DRD_PREF_CXL_ACC, 0x10c897820136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_ITOM, 0xcc47fe0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_LLCPREFCODE, 0xcccffe0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_LLCPREFDATA, 0xccd7fe0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_LLCPREFDATA_CXL_ACC, 0x10ccd7820136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_LLCPREFRFO, 0xccc7fe0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_LLCPREFRFO_CXL_ACC, 0x10c887820136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_LOCAL_WCILF_DDR, 0xc866860136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_LOCAL_WCILF_PMM, 0xc8668a0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_LOCAL_WCIL_DDR, 0xc86e860136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_LOCAL_WCIL_PMM, 0xc86e8a0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_REMOTE_WCILF_DDR, 0xc867060136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_REMOTE_WCILF_PMM, 0xc8670a0136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_REMOTE_WCIL_DDR, 0xc86f060136
UNC_CHA_TOR_OCCUPANCY.IA_MISS_REMOTE_WCIL_PMM, 0xc86f0a0136
