CYCLE_ACTIVITY.STALLS_L3_MISS, 0x6a3
UNC_CHA_HORZ_RING_IV_IN_USE.LEFT, 0x1b9
UNC_CHA_HORZ_RING_IV_IN_USE.RIGHT, 0x4b9
UNC_CHA_IMC_READS_COUNT.NORMAL, 0x159
UNC_CHA_IMC_READS_COUNT.PRIORITY, 0x259
UNC_CHA_IMC_WRITES_COUNT.FULL, 0x15b
UNC_CHA_IMC_WRITES_COUNT.FULL_PRIORITY, 0x45b
UNC_CHA_IMC_WRITES_COUNT.PARTIAL, 0x25b
UNC_CHA_IMC_WRITES_COUNT.PARTIAL_PRIORITY, 0x85b
UNC_CHA_LLC_LOOKUP.ALL, 0x1fffff34
UNC_CHA_LLC_LOOKUP.ALL_REMOTE, 0x1e20ff34
UNC_CHA_LLC_LOOKUP.ANY_F, 0x34
UNC_CHA_LLC_LOOKUP.CODE, 0x1bd0ff34
UNC_CHA_LLC_LOOKUP.CODE_LOCAL, 0x19d0ff34
UNC_CHA_LLC_LOOKUP.CODE_READ, 0x1bd0ff34
UNC_CHA_LLC_LOOKUP.CODE_READ_F, 0x34
UNC_CHA_LLC_LOOKUP.CODE_READ_LOCAL, 0x19d0ff34
UNC_CHA_LLC_LOOKUP.CODE_READ_MISS, 0x1bd00134
UNC_CHA_LLC_LOOKUP.CODE_READ_REMOTE, 0x1a10ff34
UNC_CHA_LLC_LOOKUP.CODE_REMOTE, 0x1a10ff34
UNC_CHA_LLC_LOOKUP.COREPREF_OR_DMND_LOCAL_F, 0x34
UNC_CHA_LLC_LOOKUP.DATA_RD, 0x1bc1ff34
UNC_CHA_LLC_LOOKUP.DATA_READ, 0x1bc1ff34
UNC_CHA_LLC_LOOKUP.DATA_READ_ALL, 0x1fc1ff34
UNC_CHA_LLC_LOOKUP.DATA_READ_F, 0x34
UNC_CHA_LLC_LOOKUP.DATA_READ_LOCAL, 0x19c1ff34
UNC_CHA_LLC_LOOKUP.DATA_READ_MISS, 0x1bc10134
UNC_CHA_LLC_LOOKUP.DATA_READ_REMOTE, 0x1a01ff34
UNC_CHA_LLC_LOOKUP.DMND_READ_LOCAL, 0x841ff34
UNC_CHA_LLC_LOOKUP.E, 0x2034
UNC_CHA_LLC_LOOKUP.F, 0x8034
UNC_CHA_LLC_LOOKUP.FLUSH_INV, 0x1a44ff34
UNC_CHA_LLC_LOOKUP.FLUSH_INV_LOCAL, 0x1844ff34
UNC_CHA_LLC_LOOKUP.FLUSH_INV_REMOTE, 0x1a04ff34
UNC_CHA_LLC_LOOKUP.FLUSH_OR_INV_F, 0x34
UNC_CHA_LLC_LOOKUP.I, 0x134
UNC_CHA_LLC_LOOKUP.LLCPREF_LOCAL, 0x189dff34
UNC_CHA_LLC_LOOKUP.LLCPREF_LOCAL_F, 0x34
UNC_CHA_LLC_LOOKUP.LLC_PF_LOCAL, 0x189dff34
UNC_CHA_LLC_LOOKUP.LOCALLY_HOMED_ADDRESS, 0xbdfff34
UNC_CHA_LLC_LOOKUP.LOCAL_F, 0x34
UNC_CHA_LLC_LOOKUP.LOC_HOM, 0xbdfff34
UNC_CHA_LLC_LOOKUP.M, 0x4034
UNC_CHA_LLC_LOOKUP.MISS_ALL, 0x1fe00134
UNC_CHA_LLC_LOOKUP.OTHER_REQ_F, 0x34
UNC_CHA_LLC_LOOKUP.PREF_OR_DMND_REMOTE_F, 0x34
UNC_CHA_LLC_LOOKUP.READ, 0x1bd9ff34
UNC_CHA_LLC_LOOKUP.READ_LOCAL_LOC_HOM, 0x9d9ff34
UNC_CHA_LLC_LOOKUP.READ_LOCAL_REM_HOM, 0x11d9ff34
UNC_CHA_LLC_LOOKUP.READ_MISS, 0x1bd90134
UNC_CHA_LLC_LOOKUP.READ_MISS_LOC_HOM, 0xbd90134
UNC_CHA_LLC_LOOKUP.READ_MISS_REM_HOM, 0x13d90134
UNC_CHA_LLC_LOOKUP.READ_OR_SNOOP_REMOTE_MISS_REM_HOM, 0x16190134
UNC_CHA_LLC_LOOKUP.READ_REMOTE_LOC_HOM, 0xa19ff34
UNC_CHA_LLC_LOOKUP.READ_SF_HIT, 0x1bd90e34
UNC_CHA_LLC_LOOKUP.REMOTELY_HOMED_ADDRESS, 0x15dfff34
UNC_CHA_LLC_LOOKUP.REMOTE_F, 0x34
UNC_CHA_LLC_LOOKUP.REMOTE_SNOOP_F, 0x34
UNC_CHA_LLC_LOOKUP.REMOTE_SNP, 0x1c19ff34
UNC_CHA_LLC_LOOKUP.REM_HOM, 0x15dfff34
UNC_CHA_LLC_LOOKUP.RFO, 0x1bc8ff34
UNC_CHA_LLC_LOOKUP.RFO_F, 0x34
UNC_CHA_LLC_LOOKUP.RFO_LOCAL, 0x19c8ff34
UNC_CHA_LLC_LOOKUP.RFO_MISS, 0x1bc80134
UNC_CHA_LLC_LOOKUP.RFO_PREF_LOCAL, 0x888ff34
UNC_CHA_LLC_LOOKUP.RFO_REMOTE, 0x1a08ff34
UNC_CHA_LLC_LOOKUP.S, 0x1034
UNC_CHA_LLC_LOOKUP.SF_E, 0x434
UNC_CHA_LLC_LOOKUP.SF_H, 0x834
UNC_CHA_LLC_LOOKUP.SF_S, 0x234
UNC_CHA_LLC_LOOKUP.WRITES_AND_OTHER, 0x1a42ff34
UNC_CHA_LLC_LOOKUP.WRITE_LOCAL, 0x842ff34
UNC_CHA_LLC_LOOKUP.WRITE_REMOTE, 0x17c2ff34
UNC_CHA_LLC_VICTIMS.ALL, 0xf37
UNC_CHA_LLC_VICTIMS.E_STATE, 0x237
UNC_CHA_LLC_VICTIMS.LOCAL_ALL, 0x200f37
UNC_CHA_LLC_VICTIMS.LOCAL_E, 0x200237
UNC_CHA_LLC_VICTIMS.LOCAL_M, 0x200137
