umc_mem_clk, 0x0
bp_l1_tlb_miss_l2_tlb_miss.if2m, 0x285
bp_l1_tlb_miss_l2_tlb_miss.if1g, 0x485
bp_l1_tlb_miss_l2_tlb_miss.coalesced_4k, 0x885
bp_l1_tlb_miss_l2_tlb_miss.all, 0xf85
bp_l2_btb_correct, 0x8b
bp_dyn_ind_pred, 0x8e
bp_de_redirect, 0x91
bp_l1_tlb_fetch_hit.if4k, 0x194
bp_l1_tlb_fetch_hit.if2m, 0x294
bp_l1_tlb_fetch_hit.if1g, 0x494
bp_l1_tlb_fetch_hit.all, 0x794
bp_redirects.resync, 0x19f
bp_redirects.ex_redir, 0x29f
bp_redirects.all, 0x9f
ex_ret_instr, 0xc0
ex_ret_ops, 0xc1
ex_ret_brn, 0xc2
ex_ret_brn_misp, 0xc3
ex_ret_brn_tkn, 0xc4
ex_ret_brn_tkn_misp, 0xc5
ex_ret_brn_far, 0xc6
ex_ret_near_ret, 0xc8
ex_ret_near_ret_mispred, 0xc9
ex_ret_brn_ind_misp, 0xca
ex_ret_mmx_fp_instr.x87, 0x1cb
ex_ret_mmx_fp_instr.mmx, 0x2cb
ex_ret_mmx_fp_instr.sse, 0x4cb
ex_ret_ind_brch_instr, 0xcc
ex_ret_cond, 0xd1
ex_div_busy, 0xd3
ex_div_count, 0xd4
ex_no_retire.empty, 0x1d6
ex_no_retire.not_complete, 0x2d6
ex_no_retire.other, 0x8d6
ex_no_retire.thread_not_selected, 0x10d6
ex_no_retire.load_not_complete, 0xa2d6
ex_no_retire.all, 0x1bd6
ex_ret_ucode_instr, 0x1c1
ex_ret_ucode_ops, 0x1c2
ex_ret_msprd_brnch_instr_dir_msmtch, 0x1c7
ex_ret_uncond_brnch_instr_mispred, 0x1c8
ex_ret_uncond_brnch_instr, 0x1c9
ex_tagged_ibs_ops.ibs_tagged_ops, 0x1cf
ex_tagged_ibs_ops.ibs_tagged_ops_ret, 0x3cf
ex_tagged_ibs_ops.ibs_count_rollover, 0x5cf
ex_ret_fused_instr, 0x1d0
ls_bad_status2.stli_other, 0x224
ls_locks.bus_lock, 0x125
ls_ret_cl_flush, 0x26
ls_ret_cpuid, 0x27
ls_dispatch.ld_dispatch, 0x129
ls_dispatch.store_dispatch, 0x229
ls_dispatch.ld_st_dispatch, 0x429
ls_dispatch.all, 0x729
ls_smi_rx, 0x2b
ls_int_taken, 0x2c
ls_stlf, 0x35
ls_st_commit_cancel2.st_commit_cancel_wcb_full, 0x137
ls_mab_alloc.load_store_allocations, 0x3f41
ls_mab_alloc.hardware_prefetcher_allocations, 0x4041
ls_mab_alloc.all_allocations, 0x7f41
ls_dmnd_fills_from_sys.local_l2, 0x143
ls_dmnd_fills_from_sys.local_ccx, 0x243
ls_dmnd_fills_from_sys.local_all, 0x343
ls_dmnd_fills_from_sys.near_cache, 0x443
ls_dmnd_fills_from_sys.dram_io_near, 0x843
ls_dmnd_fills_from_sys.far_cache, 0x1043
ls_dmnd_fills_from_sys.remote_cache, 0x1443
ls_dmnd_fills_from_sys.dram_io_far, 0x4043
ls_dmnd_fills_from_sys.dram_io_all, 0x4843
ls_dmnd_fills_from_sys.far_all, 0x5043
ls_dmnd_fills_from_sys.alternate_memories, 0x8043
ls_dmnd_fills_from_sys.all, 0xff43
ls_any_fills_from_sys.local_l2, 0x144
ls_any_fills_from_sys.local_ccx, 0x244
ls_any_fills_from_sys.local_all, 0x344
ls_any_fills_from_sys.near_cache, 0x444
ls_any_fills_from_sys.dram_io_near, 0x844
ls_any_fills_from_sys.far_cache, 0x1044
ls_any_fills_from_sys.remote_cache, 0x1444
ls_any_fills_from_sys.dram_io_far, 0x4044
ls_any_fills_from_sys.dram_io_all, 0x4844
ls_any_fills_from_sys.far_all, 0x5044
ls_any_fills_from_sys.alternate_memories, 0x8044
ls_any_fills_from_sys.all, 0xff44
ls_l1_d_tlb_miss.tlb_reload_4k_l2_hit, 0x145
ls_l1_d_tlb_miss.tlb_reload_coalesced_page_hit, 0x245
ls_l1_d_tlb_miss.tlb_reload_2m_l2_hit, 0x445
ls_l1_d_tlb_miss.tlb_reload_1g_l2_hit, 0x845
ls_l1_d_tlb_miss.tlb_reload_4k_l2_miss, 0x1045
ls_l1_d_tlb_miss.tlb_reload_coalesced_page_miss, 0x2045
ls_l1_d_tlb_miss.tlb_reload_2m_l2_miss, 0x4045
ls_l1_d_tlb_miss.tlb_reload_1g_l2_miss, 0x8045
ls_l1_d_tlb_miss.all_l2_miss, 0xf045
ls_l1_d_tlb_miss.all, 0xff45
ls_misal_loads.ma64, 0x147
ls_misal_loads.ma4k, 0x247
ls_pref_instr_disp.prefetch, 0x14b
ls_pref_instr_disp.prefetch_w, 0x24b
ls_pref_instr_disp.prefetch_nta, 0x44b
ls_pref_instr_disp.all, 0x74b
wcb_close.full_line_64b, 0x150
ls_inef_sw_pref.data_pipe_sw_pf_dc_hit, 0x152
ls_inef_sw_pref.mab_mch_cnt, 0x252
ls_inef_sw_pref.all, 0x352
ls_sw_pf_dc_fills.local_l2, 0x159
ls_sw_pf_dc_fills.local_ccx, 0x259
ls_sw_pf_dc_fills.local_all, 0x359
ls_sw_pf_dc_fills.near_cache, 0x459
ls_sw_pf_dc_fills.dram_io_near, 0x859
ls_sw_pf_dc_fills.far_cache, 0x1059
ls_sw_pf_dc_fills.remote_cache, 0x1459
ls_sw_pf_dc_fills.dram_io_far, 0x4059
ls_sw_pf_dc_fills.dram_io_all, 0x4859
ls_sw_pf_dc_fills.far_all, 0x5059
ls_sw_pf_dc_fills.alternate_memories, 0x8059
ls_sw_pf_dc_fills.all, 0xdf59
ls_hw_pf_dc_fills.local_l2, 0x15a
ls_hw_pf_dc_fills.local_ccx, 0x25a
ls_hw_pf_dc_fills.local_all, 0x35a
ls_hw_pf_dc_fills.near_cache, 0x45a
ls_hw_pf_dc_fills.dram_io_near, 0x85a
ls_hw_pf_dc_fills.far_cache, 0x105a
ls_hw_pf_dc_fills.remote_cache, 0x145a
ls_hw_pf_dc_fills.dram_io_far, 0x405a
ls_hw_pf_dc_fills.dram_io_all, 0x485a
ls_hw_pf_dc_fills.far_all, 0x505a
ls_hw_pf_dc_fills.alternate_memories, 0x805a
ls_hw_pf_dc_fills.all, 0xdf5a
ls_alloc_mab_count, 0x5f
ls_not_halted_cyc, 0x76
ls_tlb_flush.all, 0xff78
ls_not_halted_p0_cyc.p0_freq_cyc, 0x120
local_or_remote_socket_read_data_beats_dram_0, 0xffe1f
local_or_remote_socket_read_data_beats_dram_1, 0xffe5f
local_or_remote_socket_read_data_beats_dram_2, 0xffe9f
local_or_remote_socket_read_data_beats_dram_3, 0xffedf
local_or_remote_socket_read_data_beats_dram_4, 0xfff1f
local_or_remote_socket_read_data_beats_dram_5, 0xfff5f
local_or_remote_socket_read_data_beats_dram_6, 0xfff9f
local_or_remote_socket_read_data_beats_dram_7, 0xfffdf
local_or_remote_socket_read_data_beats_dram_8, 0xffe1f
local_or_remote_socket_read_data_beats_dram_9, 0xffe5f
local_or_remote_socket_read_data_beats_dram_10, 0xffe9f
local_or_remote_socket_read_data_beats_dram_11, 0xffedf
local_socket_write_data_beats_dram_0, 0x7ff1f
local_socket_write_data_beats_dram_1, 0x7ff5f
local_socket_write_data_beats_dram_2, 0x7ff9f
local_socket_write_data_beats_dram_3, 0x7ffdf
local_socket_write_data_beats_dram_4, 0x7ff1f
local_socket_write_data_beats_dram_5, 0x7ff5f
local_socket_write_data_beats_dram_6, 0x7ff9f
local_socket_write_data_beats_dram_7, 0x7ffdf
local_socket_write_data_beats_dram_8, 0x7ff1f
local_socket_write_data_beats_dram_9, 0x7ff5f
local_socket_write_data_beats_dram_10, 0x7ff9f
local_socket_write_data_beats_dram_11, 0x7ffdf
remote_socket_write_data_beats_dram_0, 0xbff1f
remote_socket_write_data_beats_dram_1, 0xbff5f
remote_socket_write_data_beats_dram_2, 0xbff9f
remote_socket_write_data_beats_dram_3, 0xbffdf
remote_socket_write_data_beats_dram_4, 0xbff1f
remote_socket_write_data_beats_dram_5, 0xbff5f
remote_socket_write_data_beats_dram_6, 0xbff9f
remote_socket_write_data_beats_dram_7, 0xbffdf
remote_socket_write_data_beats_dram_8, 0xbff1f
remote_socket_write_data_beats_dram_9, 0xbff5f
remote_socket_write_data_beats_dram_10, 0xbff9f
remote_socket_write_data_beats_dram_11, 0xbffdf
local_or_remote_socket_write_data_beats_dram_0, 0xfff1f
local_or_remote_socket_write_data_beats_dram_1, 0xfff5f
local_or_remote_socket_write_data_beats_dram_2, 0xfff9f
local_or_remote_socket_write_data_beats_dram_3, 0xfffdf
local_or_remote_socket_write_data_beats_dram_4, 0xfff1f
local_or_remote_socket_write_data_beats_dram_5, 0xfff5f
local_or_remote_socket_write_data_beats_dram_6, 0xfff9f
local_or_remote_socket_write_data_beats_dram_7, 0xfffdf
local_or_remote_socket_write_data_beats_dram_8, 0xfff1f
local_or_remote_socket_write_data_beats_dram_9, 0xfff5f
local_or_remote_socket_write_data_beats_dram_10, 0xfff9f
local_or_remote_socket_write_data_beats_dram_11, 0xfffdf
local_socket_upstream_read_data_beats_io_0, 0x7fe1f
local_socket_upstream_read_data_beats_io_1, 0x7fe5f
local_socket_upstream_read_data_beats_io_2, 0x7fe9f
local_socket_upstream_read_data_beats_io_3, 0x7fedf
local_socket_upstream_read_data_beats_io_4, 0x7ff1f
local_socket_upstream_read_data_beats_io_5, 0x7ff5f
local_socket_upstream_read_data_beats_io_6, 0x7ff9f
local_socket_upstream_read_data_beats_io_7, 0x7ffdf
local_socket_upstream_write_data_beats_io_0, 0x7ff1f
local_socket_upstream_write_data_beats_io_1, 0x7ff5f
local_socket_upstream_write_data_beats_io_2, 0x7ff9f
local_socket_upstream_write_data_beats_io_3, 0x7ffdf
local_socket_upstream_write_data_beats_io_4, 0x7ff1f
local_socket_upstream_write_data_beats_io_5, 0x7ff5f
local_socket_upstream_write_data_beats_io_6, 0x7ff9f
local_socket_upstream_write_data_beats_io_7, 0x7ffdf
remote_socket_upstream_read_data_beats_io_0, 0xbfe1f
remote_socket_upstream_read_data_beats_io_1, 0xbfe5f
remote_socket_upstream_read_data_beats_io_2, 0xbfe9f
remote_socket_upstream_read_data_beats_io_3, 0xbfedf
remote_socket_upstream_read_data_beats_io_4, 0xbff1f
remote_socket_upstream_read_data_beats_io_5, 0xbff5f
remote_socket_upstream_read_data_beats_io_6, 0xbff9f
remote_socket_upstream_read_data_beats_io_7, 0xbffdf
remote_socket_upstream_write_data_beats_io_0, 0xbff1f
remote_socket_upstream_write_data_beats_io_1, 0xbff5f
remote_socket_upstream_write_data_beats_io_2, 0xbff9f
remote_socket_upstream_write_data_beats_io_3, 0xbffdf
remote_socket_upstream_write_data_beats_io_4, 0xbff1f
remote_socket_upstream_write_data_beats_io_5, 0xbff5f
remote_socket_upstream_write_data_beats_io_6, 0xbff9f
remote_socket_upstream_write_data_beats_io_7, 0xbffdf
local_or_remote_socket_upstream_read_data_beats_io_0, 0xffe1f
local_or_remote_socket_upstream_read_data_beats_io_1, 0xffe5f
local_or_remote_socket_upstream_read_data_beats_io_2, 0xffe9f
local_or_remote_socket_upstream_read_data_beats_io_3, 0xffedf
local_or_remote_socket_upstream_read_data_beats_io_4, 0xfff1f
local_or_remote_socket_upstream_read_data_beats_io_5, 0xfff5f
local_or_remote_socket_upstream_read_data_beats_io_6, 0xfff9f
local_or_remote_socket_upstream_read_data_beats_io_7, 0xfffdf
local_or_remote_socket_upstream_write_data_beats_io_0, 0xfff1f
local_or_remote_socket_upstream_write_data_beats_io_1, 0xfff5f
local_or_remote_socket_upstream_write_data_beats_io_2, 0xfff9f
local_or_remote_socket_upstream_write_data_beats_io_3, 0xfffdf
local_or_remote_socket_upstream_write_data_beats_io_4, 0xfff1f
local_or_remote_socket_upstream_write_data_beats_io_5, 0xfff5f
local_or_remote_socket_upstream_write_data_beats_io_6, 0xfff9f
local_or_remote_socket_upstream_write_data_beats_io_7, 0xfffdf
local_socket_inbound_data_beats_cfi_0, 0x7fe1e
local_socket_inbound_data_beats_cfi_1, 0x7fe5e
local_socket_inbound_data_beats_cfi_2, 0x7fe9e
local_socket_inbound_data_beats_cfi_3, 0x7fede
