misalign_mem_ref.store, 0x205
l2_write.lock.hit, 0xe027
l2_write.lock.i_state, 0x1027
l2_write.lock.mesi, 0xf027
l2_write.lock.m_state, 0x8027
l2_write.lock.s_state, 0x2027
l2_write.rfo.hit, 0xe27
l2_write.rfo.i_state, 0x127
l2_write.rfo.mesi, 0xf27
l2_write.rfo.m_state, 0x827
l2_write.rfo.s_state, 0x227
longest_lat_cache.miss, 0x412e
longest_lat_cache.reference, 0x4f2e
mem_inst_retired.latency_above_threshold_0, 0x100b
mem_inst_retired.latency_above_threshold_1024, 0x100b, 0x400
mem_inst_retired.latency_above_threshold_128, 0x100b, 0x80
mem_inst_retired.latency_above_threshold_16, 0x100b, 0x10
mem_inst_retired.latency_above_threshold_16384, 0x100b, 0x4000
mem_inst_retired.latency_above_threshold_2048, 0x100b, 0x800
mem_inst_retired.latency_above_threshold_256, 0x100b, 0x100
mem_inst_retired.latency_above_threshold_32, 0x100b, 0x20
mem_inst_retired.latency_above_threshold_32768, 0x100b, 0x8000
mem_inst_retired.latency_above_threshold_4, 0x100b, 0x4
mem_inst_retired.latency_above_threshold_4096, 0x100b, 0x1000
mem_inst_retired.latency_above_threshold_512, 0x100b, 0x200
mem_inst_retired.latency_above_threshold_64, 0x100b, 0x40
mem_inst_retired.latency_above_threshold_8, 0x100b, 0x8
mem_inst_retired.latency_above_threshold_8192, 0x100b, 0x2000
mem_inst_retired.loads, 0x10b
mem_inst_retired.stores, 0x20b
mem_load_retired.hit_lfb, 0x40cb
mem_load_retired.l1d_hit, 0x1cb
mem_load_retired.l2_hit, 0x2cb
mem_load_retired.llc_miss, 0x10cb
mem_load_retired.llc_unshared_hit, 0x4cb
mem_load_retired.other_core_l2_hit_hitm, 0x8cb
offcore_requests.any, 0x80b0
offcore_requests.any.read, 0x8b0
offcore_requests.any.rfo, 0x10b0
offcore_requests.demand.read_code, 0x2b0
offcore_requests.demand.read_data, 0x1b0
offcore_requests.demand.rfo, 0x4b0
offcore_requests.l1d_writeback, 0x40b0
offcore_requests_outstanding.any.read, 0x860
offcore_requests_outstanding.any.read_not_empty, 0x860
offcore_requests_outstanding.demand.read_code, 0x260
offcore_requests_outstanding.demand.read_code_not_empty, 0x260
offcore_requests_outstanding.demand.read_data, 0x160
