L2_LINES_OUT.SILENT, 0x1f2
L2_LINES_OUT.USELESS_HWPF, 0x4f2
L2_LINES_OUT.USELESS_PREF, 0x4f2
L2_RQSTS.ALL_CODE_RD, 0xe424
L2_RQSTS.ALL_DEMAND_DATA_RD, 0xe124
L2_RQSTS.ALL_DEMAND_MISS, 0x2724
L2_RQSTS.ALL_DEMAND_REFERENCES, 0xe724
L2_RQSTS.ALL_PF, 0xf824
L2_RQSTS.ALL_RFO, 0xe224
L2_RQSTS.CODE_RD_HIT, 0xc424
L2_RQSTS.CODE_RD_MISS, 0x2424
L2_RQSTS.DEMAND_DATA_RD_HIT, 0xc124
L2_RQSTS.DEMAND_DATA_RD_MISS, 0x2124
L2_RQSTS.MISS, 0x3f24
L2_RQSTS.PF_HIT, 0xd824
L2_RQSTS.PF_MISS, 0x3824
L2_RQSTS.REFERENCES, 0xff24
L2_RQSTS.RFO_HIT, 0xc224
L2_RQSTS.RFO_MISS, 0x2224
L2_TRANS.L2_WB, 0x40f0
LONGEST_LAT_CACHE.MISS, 0x412e
LONGEST_LAT_CACHE.REFERENCE, 0x4f2e
MEM_INST_RETIRED.ALL_LOADS, 0x81d0
MEM_INST_RETIRED.ALL_STORES, 0x82d0
MEM_INST_RETIRED.ANY, 0x83d0
MEM_INST_RETIRED.LOCK_LOADS, 0x21d0
MEM_INST_RETIRED.SPLIT_LOADS, 0x41d0
MEM_INST_RETIRED.SPLIT_STORES, 0x42d0
MEM_INST_RETIRED.STLB_MISS_LOADS, 0x11d0
MEM_INST_RETIRED.STLB_MISS_STORES, 0x12d0
MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT, 0x2d2
MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM, 0x4d2
MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS, 0x1d2
MEM_LOAD_L3_HIT_RETIRED.XSNP_NONE, 0x8d2
MEM_LOAD_MISC_RETIRED.UC, 0x4d4
MEM_LOAD_RETIRED.FB_HIT, 0x40d1
MEM_LOAD_RETIRED.L1_HIT, 0x1d1
MEM_LOAD_RETIRED.L1_MISS, 0x8d1
MEM_LOAD_RETIRED.L2_HIT, 0x2d1
MEM_LOAD_RETIRED.L2_MISS, 0x10d1
MEM_LOAD_RETIRED.L3_HIT, 0x4d1
MEM_LOAD_RETIRED.L3_MISS, 0x20d1
OFFCORE_REQUESTS.ALL_DATA_RD, 0x8b0
OFFCORE_REQUESTS.ALL_REQUESTS, 0x80b0
OFFCORE_REQUESTS.DEMAND_CODE_RD, 0x2b0
OFFCORE_REQUESTS.DEMAND_DATA_RD, 0x1b0
OFFCORE_REQUESTS.DEMAND_RFO, 0x4b0
OFFCORE_REQUESTS_BUFFER.SQ_FULL, 0x1b2
OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD, 0x860
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD, 0x860
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_CODE_RD, 0x260
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_DATA_RD, 0x160
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO, 0x460
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_CODE_RD, 0x260
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD, 0x160
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_DATA_RD_GE_6, 0x160
OFFCORE_REQUESTS_OUTSTANDING.DEMAND_RFO, 0x460
SQ_MISC.SPLIT_LOCK, 0x10f4
SW_PREFETCH_ACCESS.ANY, 0xf32
SW_PREFETCH_ACCESS.NTA, 0x132
SW_PREFETCH_ACCESS.PREFETCHW, 0x832
SW_PREFETCH_ACCESS.T0, 0x232
SW_PREFETCH_ACCESS.T1_T2, 0x432
