UNC_H_BT_CYCLES_NE.REMOTE, 0x242
UNC_H_BT_OCCUPANCY.LOCAL, 0x143
UNC_H_BT_OCCUPANCY.READS_LOCAL, 0x443
UNC_H_BT_OCCUPANCY.READS_REMOTE, 0x843
UNC_H_BT_OCCUPANCY.REMOTE, 0x243
UNC_H_BT_OCCUPANCY.WRITES_LOCAL, 0x1043
UNC_H_BT_OCCUPANCY.WRITES_REMOTE, 0x2043
UNC_H_BT_TO_HT_NOT_ISSUED.INCOMING_BL_HAZARD, 0x451
UNC_H_BT_TO_HT_NOT_ISSUED.INCOMING_SNP_HAZARD, 0x251
UNC_H_BT_TO_HT_NOT_ISSUED.RSPACKCFLT_HAZARD, 0x851
UNC_H_BT_TO_HT_NOT_ISSUED.WBMDATA_HAZARD, 0x1051
UNC_H_BYPASS_IMC.NOT_TAKEN, 0x214
UNC_H_BYPASS_IMC.TAKEN, 0x114
UNC_H_CONFLICT_CYCLES.ACKCNFLTS, 0x80b
UNC_H_CONFLICT_CYCLES.CMP_FWDS, 0x100b
UNC_H_CONFLICT_CYCLES.CONFLICT, 0x20b
UNC_H_CONFLICT_CYCLES.LAST, 0x40b
UNC_H_DIRECT2CORE_COUNT, 0x11
UNC_H_DIRECT2CORE_CYCLES_DISABLED, 0x12
UNC_H_DIRECT2CORE_TXN_OVERRIDE, 0x13
UNC_H_DIRECTORY_LAT_OPT, 0x41
UNC_H_DIRECTORY_LOOKUP.ANY, 0x100c
UNC_H_DIRECTORY_LOOKUP.NO_SNP, 0x20c
UNC_H_DIRECTORY_LOOKUP.SNOOP_A, 0x80c
UNC_H_DIRECTORY_LOOKUP.SNOOP_S, 0x20c
UNC_H_DIRECTORY_LOOKUP.SNP, 0x10c
UNC_H_DIRECTORY_LOOKUP.STATE_A, 0x800c
UNC_H_DIRECTORY_LOOKUP.STATE_I, 0x200c
UNC_H_DIRECTORY_LOOKUP.STATE_S, 0x400c
UNC_H_DIRECTORY_UPDATE.A2I, 0x200d
UNC_H_DIRECTORY_UPDATE.A2S, 0x400d
UNC_H_DIRECTORY_UPDATE.ANY, 0x30d
UNC_H_DIRECTORY_UPDATE.CLEAR, 0x20d
UNC_H_DIRECTORY_UPDATE.I2A, 0x40d
UNC_H_DIRECTORY_UPDATE.I2S, 0x20d
UNC_H_DIRECTORY_UPDATE.S2A, 0x100d
UNC_H_DIRECTORY_UPDATE.S2I, 0x80d
UNC_H_DIRECTORY_UPDATE.SET, 0x10d
UNC_H_IGR_AD_QPI2_ACCUMULATOR, 0x59
UNC_H_IGR_BL_QPI2_ACCUMULATOR, 0x5a
UNC_H_IGR_CREDITS_AD_QPI2, 0x59
UNC_H_IGR_CREDITS_BL_QPI2, 0x5a
UNC_H_IGR_NO_CREDIT_CYCLES.AD_QPI0, 0x122
UNC_H_IGR_NO_CREDIT_CYCLES.AD_QPI1, 0x222
UNC_H_IGR_NO_CREDIT_CYCLES.BL_QPI0, 0x422
UNC_H_IGR_NO_CREDIT_CYCLES.BL_QPI1, 0x822
UNC_H_IMC_READS.NORMAL, 0x117
UNC_H_IMC_RETRY, 0x1e
UNC_H_IMC_WRITES.ALL, 0xf1a
UNC_H_IMC_WRITES.FULL, 0x11a
UNC_H_IMC_WRITES.FULL_ISOCH, 0x41a
UNC_H_IMC_WRITES.PARTIAL, 0x21a
UNC_H_IMC_WRITES.PARTIAL_ISOCH, 0x81a
UNC_H_IODC_CONFLICTS.ANY, 0x157
UNC_H_IODC_CONFLICTS.LAST, 0x457
UNC_H_IODC_CONFLICTS.REMOTE_INVI2E_SAME_RTID, 0x157
UNC_H_IODC_CONFLICTS.REMOTE_OTHER_SAME_ADDR, 0x457
UNC_H_IODC_INSERTS, 0x56
UNC_H_IODC_OLEN_WBMTOI, 0x58
UNC_H_OSB.INVITOE_LOCAL, 0x453
UNC_H_OSB.READS_LOCAL, 0x253
UNC_H_OSB.REMOTE, 0x853
UNC_H_OSB_EDR.ALL, 0x154
UNC_H_OSB_EDR.READS_LOCAL_I, 0x254
UNC_H_OSB_EDR.READS_LOCAL_S, 0x854
UNC_H_OSB_EDR.READS_REMOTE_I, 0x454
UNC_H_OSB_EDR.READS_REMOTE_S, 0x1054
UNC_H_REQUESTS.INVITOE_LOCAL, 0x1001
UNC_H_REQUESTS.INVITOE_REMOTE, 0x2001
UNC_H_REQUESTS.READS, 0x301
UNC_H_REQUESTS.READS_LOCAL, 0x101
UNC_H_REQUESTS.READS_REMOTE, 0x201
UNC_H_REQUESTS.WRITES, 0xc01
UNC_H_REQUESTS.WRITES_LOCAL, 0x401
UNC_H_REQUESTS.WRITES_REMOTE, 0x801
UNC_H_RING_AD_USED.CCW, 0xcc3e
UNC_H_RING_AD_USED.CCW_VR0_EVEN, 0x43e
UNC_H_RING_AD_USED.CCW_VR0_ODD, 0x83e
UNC_H_RING_AD_USED.CCW_VR1_EVEN, 0x403e
UNC_H_RING_AD_USED.CCW_VR1_ODD, 0x803e
UNC_H_RING_AD_USED.CW, 0x333e
UNC_H_RING_AD_USED.CW_VR0_EVEN, 0x13e
UNC_H_RING_AD_USED.CW_VR0_ODD, 0x23e
UNC_H_RING_AD_USED.CW_VR1_EVEN, 0x103e
UNC_H_RING_AD_USED.CW_VR1_ODD, 0x203e
UNC_H_RING_AK_USED.CCW, 0xcc3f
UNC_H_RING_AK_USED.CCW_VR0_EVEN, 0x43f
UNC_H_RING_AK_USED.CCW_VR0_ODD, 0x83f
UNC_H_RING_AK_USED.CCW_VR1_EVEN, 0x403f
UNC_H_RING_AK_USED.CCW_VR1_ODD, 0x803f
UNC_H_RING_AK_USED.CW, 0x333f
UNC_H_RING_AK_USED.CW_VR0_EVEN, 0x13f
UNC_H_RING_AK_USED.CW_VR0_ODD, 0x23f
UNC_H_RING_AK_USED.CW_VR1_EVEN, 0x103f
UNC_H_RING_AK_USED.CW_VR1_ODD, 0x203f
UNC_H_RING_BL_USED.CCW, 0xcc40
UNC_H_RING_BL_USED.CCW_VR0_EVEN, 0x440
UNC_H_RING_BL_USED.CCW_VR0_ODD, 0x840
UNC_H_RING_BL_USED.CCW_VR1_EVEN, 0x4040
UNC_H_RING_BL_USED.CCW_VR1_ODD, 0x8040
UNC_H_RING_BL_USED.CW, 0x3340
UNC_H_RING_BL_USED.CW_VR0_EVEN, 0x140
UNC_H_RING_BL_USED.CW_VR0_ODD, 0x240
UNC_H_RING_BL_USED.CW_VR1_EVEN, 0x1040
UNC_H_RING_BL_USED.CW_VR1_ODD, 0x2040
UNC_H_RPQ_CYCLES_NO_REG_CREDITS.CHN0, 0x115
UNC_H_RPQ_CYCLES_NO_REG_CREDITS.CHN1, 0x215
UNC_H_RPQ_CYCLES_NO_REG_CREDITS.CHN2, 0x415
UNC_H_RPQ_CYCLES_NO_REG_CREDITS.CHN3, 0x815
UNC_H_RPQ_CYCLES_NO_SPEC_CREDITS.CHN0, 0x116
UNC_H_RPQ_CYCLES_NO_SPEC_CREDITS.CHN1, 0x216
UNC_H_RPQ_CYCLES_NO_SPEC_CREDITS.CHN2, 0x416
UNC_H_RPQ_CYCLES_NO_SPEC_CREDITS.CHN3, 0x816
UNC_H_SNOOP_RESP.RSPCNFLCT, 0x4021
UNC_H_SNOOP_RESP.RSPI, 0x121
UNC_H_SNOOP_RESP.RSPIFWD, 0x421
UNC_H_SNOOP_RESP.RSPS, 0x221
UNC_H_SNOOP_RESP.RSPSFWD, 0x821
UNC_H_SNOOP_RESP.RSP_FWD_WB, 0x2021
UNC_H_SNOOP_RESP.RSP_WB, 0x1021
UNC_H_SNP_RESP_RECV_LOCAL.OTHER, 0x8060
UNC_H_SNP_RESP_RECV_LOCAL.RSPCNFLCT, 0x4060
UNC_H_SNP_RESP_RECV_LOCAL.RSPI, 0x160
UNC_H_SNP_RESP_RECV_LOCAL.RSPIFWD, 0x460
UNC_H_SNP_RESP_RECV_LOCAL.RSPS, 0x260
UNC_H_SNP_RESP_RECV_LOCAL.RSPSFWD, 0x860
UNC_H_SNP_RESP_RECV_LOCAL.RSPxFWDxWB, 0x2060
UNC_H_SNP_RESP_RECV_LOCAL.RSPxWB, 0x1060
UNC_H_TAD_REQUESTS_G0.REGION0, 0x11b
